entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,ADANIENT.NS,long,3637.3535643213027,16,3512.5715515360253,3788.1184651394665,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-19,3512.5715515360253,-1996.5122045644384,Stop-Loss
2023-01-20,ADANIENT.NS,short,3445.1256323116277,-17,3570.111178189403,3310.0502487422546,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-27,3310.0502487422546,2296.281520679343,Take-Profit
2023-01-30,ADANIENT.NS,short,2845.973382482437,-9,2962.7149504906256,2483.993428642708,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-31,2962.7149504906256,-1050.674112073697,Stop-Loss
2023-01-31,ADANIENT.NS,long,2975.7894767087423,9,2670.767814925822,3179.4231054895286,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,2670.767814925822,-2745.194956046281,Stop-Loss
2023-02-01,ADANIENT.NS,long,2990.7682891943814,8,2747.9438930841125,3265.3701379972254,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-02,2747.9438930841125,-1942.5951688821515,Stop-Loss
2023-02-02,ADANIENT.NS,long,2345.5315813411253,7,1850.4084391294125,2508.232432723283,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-03,1850.4084391294125,-3465.8619954819897,Stop-Loss
2023-02-07,ADANIENT.NS,long,1568.7803556264873,8,1328.4503623700334,1893.1812958113096,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-08,1893.1812958113096,2595.207521478578,Take-Profit
2023-02-08,ADANIENT.NS,long,1867.2080710325174,6,1509.6388570034233,2188.087562406894,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-22,1509.6388570034233,-2145.415284174565,Stop-Loss
2023-02-22,ADANIENT.NS,long,1532.831252311872,8,1348.0414776531693,1863.3316593530658,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-24,1348.0414776531693,-1478.318197269622,Stop-Loss
2023-02-24,ADANIENT.NS,short,1408.0079366809846,-10,1569.080435246974,1129.5179971446596,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-27,1129.5179971446596,2784.89939536325,Take-Profit
