entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-12,APOLLOHOSP.NS,short,4334.73043206512,-21,4236.017800560005,4442.396513315827,2023-01-13,4236.017800560005,2072.9652616074254,Stop-Loss
2023-01-13,APOLLOHOSP.NS,long,4328.828710022045,22,4237.587476387016,4438.337140858979,2023-01-20,4237.587476387016,-2007.3071399706369,Stop-Loss
2023-01-20,APOLLOHOSP.NS,short,4266.350945147964,-24,4205.756217301907,4384.515147764124,2023-01-23,4205.756217301907,1454.2734683053714,Stop-Loss
2023-01-23,APOLLOHOSP.NS,long,4258.814768697543,25,4175.342250256878,4348.936407209579,2023-01-25,4175.342250256878,-2086.812961016608,Stop-Loss
2023-01-25,APOLLOHOSP.NS,long,4279.193561450396,25,4195.441147719954,4367.839537415061,2023-01-27,4195.441147719954,-2093.810343261066,Stop-Loss
2023-01-27,APOLLOHOSP.NS,short,4192.964880081371,-25,4114.658804111943,4288.924817173659,2023-01-30,4114.658804111943,1957.6518992357023,Stop-Loss
2023-01-30,APOLLOHOSP.NS,long,4201.393734624909,25,4135.2169405282875,4307.332979035201,2023-01-31,4135.2169405282875,-1654.4198524155263,Stop-Loss
2023-01-31,APOLLOHOSP.NS,short,4204.3692965636055,-26,4130.94548606307,4298.10198212424,2023-02-01,4130.94548606307,1909.0190730139147,Stop-Loss
2023-02-01,APOLLOHOSP.NS,short,4239.57490612443,-27,4150.010092440733,4314.797578568605,2023-02-02,4150.010092440733,2418.249969459798,Stop-Loss
2023-02-02,APOLLOHOSP.NS,long,4226.682807699693,27,4158.341910847159,4319.307465224621,2023-02-03,4158.341910847159,-1845.2042150184088,Stop-Loss
2023-02-03,APOLLOHOSP.NS,long,4209.823247267774,28,4129.35028964487,4285.882556515174,2023-02-06,4285.882556515174,2129.6606589272014,Take-Profit
2023-02-06,APOLLOHOSP.NS,long,4176.105325539277,28,4150.075826776495,4304.759086433424,2023-02-07,4304.759086433424,3602.3053050361195,Take-Profit
2023-02-07,APOLLOHOSP.NS,long,4269.326607265678,27,4214.303337660967,4379.0206799937105,2023-02-10,4379.0206799937105,2961.739963656879,Take-Profit
2023-02-10,APOLLOHOSP.NS,short,4349.059841679028,-26,4281.852595797688,4447.6934464885,2023-02-13,4281.852595797688,1747.3883929148396,Stop-Loss
2023-02-14,APOLLOHOSP.NS,short,4344.151392512922,-27,4252.233472908071,4416.262758778822,2023-02-15,4252.233472908071,2481.7838293309715,Stop-Loss
2023-02-20,APOLLOHOSP.NS,long,4554.939789731733,16,4458.623701841412,4733.576112388534,2023-02-21,4458.623701841412,-1541.0574062451342,Stop-Loss
2023-02-21,APOLLOHOSP.NS,short,4572.790033684743,-16,4457.751390720315,4725.250912633331,2023-02-22,4457.751390720315,1840.618287430858,Stop-Loss
2023-02-22,APOLLOHOSP.NS,long,4467.669107066837,16,4348.602955682406,4619.595635913042,2023-02-28,4348.602955682406,-1905.0584221508907,Stop-Loss
2023-03-06,APOLLOHOSP.NS,long,4385.3220514681625,20,4283.193628027216,4503.650846224128,2023-03-09,4503.650846224128,2366.575895119313,Take-Profit
2023-03-09,APOLLOHOSP.NS,long,4368.440163207278,21,4255.498602522885,4465.850496115319,2023-03-14,4255.498602522885,-2371.772774372237,Stop-Loss
2023-03-14,APOLLOHOSP.NS,long,4314.8149747302305,21,4224.116810418701,4435.745782722982,2023-03-20,4224.116810418701,-1904.6614505421212,Stop-Loss
2023-03-22,APOLLOHOSP.NS,short,4245.351069301544,-24,4164.835231704063,4350.271937155,2023-03-23,4164.835231704063,1932.3801023395572,Stop-Loss
2023-03-23,APOLLOHOSP.NS,long,4246.294446274033,24,4177.6162774722425,4358.951896964093,2023-03-27,4358.951896964093,2703.778816561433,Take-Profit
2023-03-27,APOLLOHOSP.NS,long,4274.795238196778,25,4179.876222717009,4351.883786377321,2023-03-31,4351.883786377321,1927.213704513565,Take-Profit
2023-03-31,APOLLOHOSP.NS,long,4354.388612904769,26,4261.363953765402,4427.791258260715,2023-04-03,4261.363953765402,-2418.641137623543,Stop-Loss
2023-04-03,APOLLOHOSP.NS,short,4313.325219509478,-26,4210.149732204641,4375.355370081313,2023-04-05,4210.149732204641,2682.5626699257773,Stop-Loss
2023-04-05,APOLLOHOSP.NS,short,4220.47566201192,-26,4132.812868037099,4301.094561367201,2023-04-06,4132.812868037099,2279.2326433453327,Stop-Loss
2023-04-06,APOLLOHOSP.NS,long,4187.704531145671,27,4101.577999686736,4265.351404063518,2023-04-12,4265.351404063518,2096.465568781865,Take-Profit
2023-04-12,APOLLOHOSP.NS,short,4257.913764098207,-27,4173.0098155446685,4333.117609221692,2023-04-13,4173.0098155446685,2292.4066109455425,Stop-Loss
2023-04-19,APOLLOHOSP.NS,long,4324.745753660668,26,4236.907553980449,4403.977102505235,2023-04-20,4236.907553980449,-2283.793191685696,Stop-Loss
2023-04-20,APOLLOHOSP.NS,short,4290.286521018859,-27,4220.650957438776,4383.134172633716,2023-04-21,4220.650957438776,1880.1602166622606,Stop-Loss
2023-04-21,APOLLOHOSP.NS,short,4309.849631804595,-27,4249.312455451339,4410.030007314881,2023-04-24,4249.312455451339,1634.5037615379297,Stop-Loss
2023-04-24,APOLLOHOSP.NS,long,4331.994562968732,28,4263.685085593336,4420.756637177636,2023-04-26,4420.756637177636,2485.3380778493083,Take-Profit
2023-04-26,APOLLOHOSP.NS,short,4389.244689028395,-28,4320.0288016094155,4473.537769729112,2023-04-27,4320.0288016094155,1938.0448477314385,Stop-Loss
2023-04-27,APOLLOHOSP.NS,long,4389.145294909971,29,4315.764602656836,4465.088928228384,2023-04-28,4465.088928228384,2202.3653662339784,Take-Profit
2023-05-02,APOLLOHOSP.NS,short,4498.281657632717,-27,4412.666182730858,4575.246033702606,2023-05-03,4412.666182730858,2311.6178223501865,Stop-Loss
2023-05-04,APOLLOHOSP.NS,short,4478.669250271905,-28,4417.029063904093,4573.483709065376,2023-05-05,4417.029063904093,1725.9252182987366,Stop-Loss
2023-05-05,APOLLOHOSP.NS,long,4518.390602721008,28,4455.0361292533835,4610.280278182989,2023-05-08,4610.280278182989,2572.9109129354656,Take-Profit
2023-05-08,APOLLOHOSP.NS,short,4578.967581677128,-28,4503.733816119643,4659.581962621725,2023-05-09,4503.733816119643,2106.5454356095725,Stop-Loss
2023-05-10,APOLLOHOSP.NS,long,4561.14178558965,29,4496.181825825636,4647.7546358783175,2023-05-15,4647.7546358783175,2511.772658371363,Take-Profit
2023-05-15,APOLLOHOSP.NS,long,4577.924423011516,31,4513.088438065914,4653.4813664329495,2023-05-16,4513.088438065914,-2009.9155333136878,Stop-Loss
2023-05-16,APOLLOHOSP.NS,long,4592.870861826947,32,4534.806769241612,4672.256664448684,2023-05-17,4534.806769241612,-1858.0509627307183,Stop-Loss
2023-05-17,APOLLOHOSP.NS,long,4548.231994386273,30,4460.762142375907,4607.049077092541,2023-05-18,4460.762142375907,-2624.0955603109705,Stop-Loss
2023-05-18,APOLLOHOSP.NS,long,4478.66871249402,29,4385.390780638062,4538.507442222167,2023-05-19,4385.390780638062,-2705.060023822777,Stop-Loss
2023-05-19,APOLLOHOSP.NS,long,4424.050933802296,29,4346.3440393012825,4497.537211921206,2023-05-22,4497.537211921206,2131.102065448401,Take-Profit
2023-05-22,APOLLOHOSP.NS,long,4428.8174337478185,30,4353.125653912538,4500.428327335367,2023-05-23,4500.428327335367,2148.326807626445,Take-Profit
2023-05-23,APOLLOHOSP.NS,long,4573.00838031599,22,4489.094723214396,4685.589197172471,2023-05-30,4685.589197172471,2476.7779708425987,Take-Profit
2023-06-02,APOLLOHOSP.NS,long,4806.028397487445,19,4680.211547924894,4914.931152245975,2023-06-05,4914.931152245975,2069.1523404120726,Take-Profit
2023-06-05,APOLLOHOSP.NS,long,4933.437235446031,17,4821.414712483143,5081.293892470392,2023-06-15,5081.293892470392,2513.5631694141384,Take-Profit
2023-06-15,APOLLOHOSP.NS,long,5004.936970953205,18,4871.957865499746,5110.528998344089,2023-06-16,5110.528998344089,1900.6564930359145,Take-Profit
2023-06-16,APOLLOHOSP.NS,long,5182.495088829715,15,5059.425602149414,5346.5866645820315,2023-06-21,5059.425602149414,-1846.0423002045218,Stop-Loss
2023-06-21,APOLLOHOSP.NS,long,5133.9355388181175,16,5009.843486997007,5281.316268639407,2023-06-23,5009.843486997007,-1985.4728291377687,Stop-Loss
2023-06-26,APOLLOHOSP.NS,short,5014.8681850777175,-17,4900.506215840828,5156.923678358062,2023-06-27,4900.506215840828,1944.1534770271182,Stop-Loss
2023-06-27,APOLLOHOSP.NS,long,5004.986142830531,18,4895.010683401684,5144.55557968317,2023-07-06,5144.55557968317,2512.249863347506,Take-Profit
2023-07-06,APOLLOHOSP.NS,long,5054.639938719109,19,4942.804234936218,5175.136020085044,2023-07-07,5175.136020085044,2289.425545952773,Take-Profit
2023-07-12,APOLLOHOSP.NS,short,5225.096881722268,-15,5094.304156086019,5388.713273656141,2023-07-13,5094.304156086019,1961.8908845437363,Stop-Loss
2023-07-17,APOLLOHOSP.NS,long,5116.407551264379,16,5017.8140528069625,5293.281620996967,2023-07-28,5293.281620996967,2829.9851157214,Take-Profit
2023-07-28,APOLLOHOSP.NS,short,5141.034671213894,-19,5078.830002045393,5313.1854855540605,2023-07-31,5078.830002045393,1181.8887142015346,Stop-Loss
