entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,ASIANPAINT.NS,short,2841.65800245689,-53,2797.50648055473,2880.0113787916102,2023-01-16,2797.50648055473,2340.0306608144724,Stop-Loss
2023-01-16,ASIANPAINT.NS,long,2841.6578303956726,55,2791.956114925675,2871.997396895975,2023-01-18,2871.997396895975,1668.6761575166224,Take-Profit
2023-01-18,ASIANPAINT.NS,long,2863.95407620833,54,2822.300863624414,2903.509899933073,2023-01-19,2822.300863624414,-2249.2734795314764,Stop-Loss
2023-01-23,ASIANPAINT.NS,long,2720.219284220657,42,2663.61007393897,2768.042769253249,2023-01-27,2663.61007393897,-2377.586831830852,Stop-Loss
2023-01-27,ASIANPAINT.NS,long,2687.771161413154,43,2652.2323019393552,2754.1979952006513,2023-01-30,2652.2323019393552,-1528.170957373347,Stop-Loss
2023-01-31,ASIANPAINT.NS,short,2681.358994049484,-40,2639.9919044070584,2750.5695506343386,2023-02-01,2639.9919044070584,1654.683585697021,Stop-Loss
2023-02-01,ASIANPAINT.NS,short,2671.44993026716,-40,2601.656150610442,2710.2167666339938,2023-02-02,2601.656150610442,2791.7511862687206,Stop-Loss
2023-02-02,ASIANPAINT.NS,long,2662.9004818656563,40,2618.9697909103256,2727.708898577899,2023-02-09,2727.708898577899,2592.3366684897155,Take-Profit
2023-02-09,ASIANPAINT.NS,long,2702.6837201309654,40,2639.812899055648,2749.4484425351775,2023-02-10,2749.4484425351775,1870.5888961684832,Take-Profit
2023-02-14,ASIANPAINT.NS,long,2724.8340732792876,40,2664.050788454918,2774.1418360965677,2023-02-23,2664.050788454918,-2431.331392974789,Stop-Loss
2023-02-23,ASIANPAINT.NS,short,2725.0769296285466,-45,2674.7380963142164,2771.6795271800033,2023-02-24,2674.7380963142164,2265.2474991448616,Stop-Loss
2023-02-27,ASIANPAINT.NS,short,2662.3173156499256,-38,2610.898610513164,2726.56967491474,2023-02-28,2610.898610513164,1953.9107951969436,Stop-Loss
2023-02-28,ASIANPAINT.NS,short,2671.6437029662725,-38,2622.8044369330005,2736.5362227612077,2023-03-01,2622.8044369330005,1855.8921092643359,Stop-Loss
2023-03-01,ASIANPAINT.NS,short,2747.421513285207,-33,2691.81449912174,2823.3771359366383,2023-03-02,2691.81449912174,1835.0314673944054,Stop-Loss
2023-03-02,ASIANPAINT.NS,long,2750.3360451646818,34,2704.7297626923464,2833.5859837279127,2023-03-13,2704.7297626923464,-1550.613604059402,Stop-Loss
2023-03-16,ASIANPAINT.NS,long,2768.7945836686145,33,2690.1093118198414,2822.4771350214614,2023-03-17,2822.4771350214614,1771.5241946439505,Take-Profit
2023-03-17,ASIANPAINT.NS,short,2840.6374016118493,-31,2750.122536943349,2891.731881080743,2023-03-20,2750.122536943349,2805.960804723506,Stop-Loss
2023-03-20,ASIANPAINT.NS,short,2831.9426348393554,-32,2721.586553000859,2860.413892873855,2023-03-21,2721.586553000859,3531.3946188318805,Stop-Loss
2023-03-21,ASIANPAINT.NS,long,2776.712093101234,32,2716.0004755604505,2850.8610195652323,2023-03-23,2716.0004755604505,-1942.7717613050772,Stop-Loss
2023-03-24,ASIANPAINT.NS,short,2718.0819555216863,-35,2663.847699824478,2790.393903489238,2023-03-27,2663.847699824478,1898.1989494022969,Stop-Loss
