entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-12,AXISBANK.NS,short,946.8416511641793,-119,931.520989159197,968.2002249036227,2023-01-13,931.520989159197,1823.1587785928932,Stop-Loss
2023-01-13,AXISBANK.NS,short,933.0282324261028,-117,917.1047200047122,954.3759983270503,2023-01-16,917.1047200047122,1863.0509533026966,Stop-Loss
2023-01-16,AXISBANK.NS,long,937.9651606102153,121,916.1579891251891,952.3802698708415,2023-01-17,916.1579891251891,-2638.667749688167,Stop-Loss
2023-01-17,AXISBANK.NS,long,912.5325954469959,114,894.276644890252,932.6848510838307,2023-01-19,932.6848510838307,2297.357142599175,Take-Profit
2023-01-19,AXISBANK.NS,long,921.159654434783,117,905.5417470868829,942.9143893008228,2023-01-24,905.5417470868829,-1827.2951597043102,Stop-Loss
2023-01-25,AXISBANK.NS,short,902.6088496225307,-116,891.6007192109104,929.38761933988,2023-01-27,929.38761933988,-3106.337287212518,Take-Profit
2023-01-27,AXISBANK.NS,long,889.9922375871389,114,873.5022502597418,911.9789129023754,2023-01-30,873.5022502597418,-1879.8585553232697,Stop-Loss
2023-01-30,AXISBANK.NS,short,849.6492066457566,-112,854.7228811653,893.7327730296,2023-01-31,854.7228811653,-568.2515461888579,Stop-Loss
2023-01-31,AXISBANK.NS,long,870.6933834135348,116,853.3209023283131,891.1805083213637,2023-02-01,853.3209023283131,-2015.2078058857164,Stop-Loss
2023-02-08,AXISBANK.NS,short,879.7692840722389,-117,860.7570762828934,898.1375579574441,2023-02-09,860.7570762828934,2224.4283113534166,Stop-Loss
2023-02-10,AXISBANK.NS,long,869.7458624222388,124,850.3038254905549,885.5455219045206,2023-02-17,850.3038254905549,-2410.812579528804,Stop-Loss
2023-02-17,AXISBANK.NS,long,858.725155250901,134,848.4483473974859,881.1543600455396,2023-02-20,848.4483473974859,-1377.0922523576244,Stop-Loss
2023-02-20,AXISBANK.NS,short,857.4286146005294,-136,838.8703276741613,871.0025880034619,2023-02-21,838.8703276741613,2523.9270219860555,Stop-Loss
2023-02-21,AXISBANK.NS,short,846.7568802035445,-140,831.081084577697,862.4217944563,2023-02-22,831.081084577697,2194.611387618652,Stop-Loss
2023-02-22,AXISBANK.NS,long,837.7805863154392,144,828.7973890632678,859.1833559234553,2023-02-23,828.7973890632678,-1293.5804043126827,Stop-Loss
2023-02-23,AXISBANK.NS,long,830.8489480155665,146,818.3198929980499,848.2524514257773,2023-02-24,848.2524514257773,2540.911497890771,Take-Profit
2023-02-24,AXISBANK.NS,long,847.8538987685147,139,828.6139014293426,860.1259838038452,2023-03-01,860.1259838038452,1705.8198199109422,Take-Profit
2023-03-01,AXISBANK.NS,long,843.814565001129,142,828.6627204722924,859.4791249822558,2023-03-02,859.4791249822558,2224.3675173200036,Take-Profit
2023-03-02,AXISBANK.NS,long,863.7118776816358,122,847.4909628087887,883.3616996533858,2023-03-03,847.4909628087887,-1978.9516144873414,Stop-Loss
2023-03-08,AXISBANK.NS,short,856.2316930866406,-118,841.3313193921451,878.4260590070878,2023-03-09,841.3313193921451,1758.2440959504622,Stop-Loss
2023-03-10,AXISBANK.NS,long,857.3288381927395,122,850.09225820964,886.0601759027716,2023-03-13,850.09225820964,-882.8627579381307,Stop-Loss
2023-03-13,AXISBANK.NS,short,843.365747946297,-120,833.9915093894067,870.5261930471974,2023-03-14,870.5261930471974,-3259.2534121080416,Take-Profit
2023-03-14,AXISBANK.NS,short,825.8122531130239,-116,813.9975355506837,851.6883852162758,2023-03-15,813.9975355506837,1370.507237231464,Stop-Loss
2023-03-15,AXISBANK.NS,short,835.835689825817,-119,814.9062548562058,851.6402930042257,2023-03-16,814.9062548562058,2490.6027613837305,Stop-Loss
2023-03-20,AXISBANK.NS,short,833.7911436751785,-122,819.8655970629169,855.6167039161107,2023-03-21,819.8655970629169,1698.916686695922,Stop-Loss
2023-03-21,AXISBANK.NS,short,837.8803087329111,-126,820.4240428073068,855.2210272334867,2023-03-22,820.4240428073068,2199.489506626138,Stop-Loss
2023-03-22,AXISBANK.NS,long,853.3393206214389,115,837.0832063393233,875.0142209746523,2023-03-24,837.0832063393233,-1869.4531424432962,Stop-Loss
2023-03-24,AXISBANK.NS,short,844.0141063949059,-122,831.1823092279047,867.0573157234708,2023-03-27,831.1823092279047,1565.4792543741376,Stop-Loss
2023-03-27,AXISBANK.NS,long,838.8277998735553,124,822.6101128015915,857.7753020718362,2023-03-31,857.7753020718362,2349.4902725868405,Take-Profit
2023-03-31,AXISBANK.NS,long,852.641164867343,129,825.8026956109737,859.8017484627121,2023-04-03,859.8017484627121,923.7152838026108,Take-Profit
2023-04-05,AXISBANK.NS,short,868.6986362029479,-122,846.9675738323824,882.7795223250527,2023-04-06,846.9675738323824,2651.1896092089905,Stop-Loss
2023-04-12,AXISBANK.NS,long,852.6412558734322,132,836.865726779007,869.9516546592407,2023-04-17,869.9516546592407,2284.9726397267223,Take-Profit
2023-04-17,AXISBANK.NS,short,879.6695920665803,-130,847.6833924320794,881.2434731764984,2023-04-18,847.6833924320794,4158.205952485125,Stop-Loss
2023-04-19,AXISBANK.NS,long,862.7145161360205,138,847.4656668963648,879.2065644181281,2023-04-24,879.2065644181281,2275.9026629308473,Take-Profit
2023-04-24,AXISBANK.NS,long,865.7065460361632,142,848.755989060254,879.4641418649738,2023-04-25,879.4641418649738,1953.5786076911083,Take-Profit
2023-04-25,AXISBANK.NS,long,882.6616898361922,130,865.5291244233943,899.221584102141,2023-04-28,865.5291244233943,-2227.233503663731,Stop-Loss
2023-04-28,AXISBANK.NS,short,882.7613161953902,-135,865.1550768271385,897.6260962942841,2023-05-02,865.1550768271385,2376.842314713986,Stop-Loss
2023-05-04,AXISBANK.NS,short,857.7276963008517,-122,842.2351824628574,878.0352393008255,2023-05-05,842.2351824628574,1890.086688235297,Stop-Loss
2023-05-08,AXISBANK.NS,long,863.01374805145,127,848.2559747261625,882.6907438221479,2023-05-09,882.6907438221479,2498.9784628786315,Take-Profit
2023-05-09,AXISBANK.NS,short,879.8690735863491,-123,860.8786923089438,896.4628096688041,2023-05-10,860.8786923089438,2335.816897120863,Stop-Loss
2023-05-11,AXISBANK.NS,long,888.6457695201626,126,872.6277272661621,907.4433444393879,2023-05-12,907.4433444393879,2368.494439822391,Take-Profit
2023-05-12,AXISBANK.NS,long,892.8347664423467,128,878.8831427218637,913.1821158565256,2023-05-15,913.1821158565256,2604.4607250148983,Take-Profit
2023-05-15,AXISBANK.NS,long,908.2439536374151,123,893.0262450899528,928.5342407589692,2023-05-29,928.5342407589692,2495.705315951156,Take-Profit
2023-06-01,AXISBANK.NS,short,919.5639303932444,-131,898.1232943257164,931.5121415826385,2023-06-02,898.1232943257164,2808.723324846165,Stop-Loss
2023-06-02,AXISBANK.NS,short,920.2122403047441,-133,903.2188432638061,936.0049212211752,2023-06-05,903.2188432638061,2260.1218064447567,Stop-Loss
2023-06-05,AXISBANK.NS,long,925.1490774704517,135,909.7798773866068,942.1506745522327,2023-06-06,942.1506745522327,2295.2156060404236,Take-Profit
2023-06-06,AXISBANK.NS,short,948.5870505516481,-117,932.3149816182007,969.7011996392741,2023-06-07,932.3149816182007,1903.8320652133425,Stop-Loss
2023-06-08,AXISBANK.NS,short,970.4790642613366,-114,957.7613764463188,996.0464158775646,2023-06-09,957.7613764463188,1449.816410912032,Stop-Loss
2023-06-13,AXISBANK.NS,short,971.7257076265167,-113,955.0088342211038,993.7823087663928,2023-06-14,955.0088342211038,1889.0066948116591,Stop-Loss
2023-06-16,AXISBANK.NS,long,980.2033013399802,116,958.4533511024406,996.0546098256522,2023-06-20,958.4533511024406,-2522.9942275545895,Stop-Loss
2023-06-20,AXISBANK.NS,short,963.3978435029916,-114,946.71314896414,984.9458021949487,2023-06-21,946.71314896414,1902.0551774290761,Stop-Loss
2023-06-21,AXISBANK.NS,long,975.7151823757298,115,955.993613057663,993.981863904887,2023-06-23,955.993613057663,-2267.980471577685,Stop-Loss
2023-06-23,AXISBANK.NS,long,957.4635460788033,119,948.323504595663,985.0093750573452,2023-06-30,985.0093750573452,3277.9536484464816,Take-Profit
2023-06-30,AXISBANK.NS,long,974.5183133320694,124,960.4803044606288,995.7957105889534,2023-07-05,960.4803044606288,-1740.7131000586392,Stop-Loss
2023-07-05,AXISBANK.NS,short,966.4396834987713,-125,953.180213728879,988.0753074760779,2023-07-06,953.180213728879,1657.4337212365294,Stop-Loss
2023-07-06,AXISBANK.NS,long,958.4608538450842,128,949.3445186797014,983.4153162395647,2023-07-07,983.4153162395647,3194.171186493506,Take-Profit
2023-07-07,AXISBANK.NS,short,974.6641831465856,-124,963.2083088463366,998.5579482309262,2023-07-10,963.2083088463366,1420.5284132308734,Stop-Loss
2023-07-12,AXISBANK.NS,short,955.1459155846112,-126,936.7195188953348,971.5612103205433,2023-07-13,936.7195188953348,2321.7259828488304,Stop-Loss
2023-07-17,AXISBANK.NS,long,958.4406173492555,131,941.1879222947705,974.5719467059309,2023-07-18,974.5719467059309,2113.204145724484,Take-Profit
2023-07-18,AXISBANK.NS,short,962.4340628416661,-131,949.0124185699309,982.3097765421755,2023-07-19,949.0124185699309,1758.2353995973117,Stop-Loss
2023-07-19,AXISBANK.NS,short,962.4340810493464,-135,948.208428010481,980.586292763369,2023-07-20,948.208428010481,1920.4631602468294,Stop-Loss
