entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,BAJAJ-AUTO.NS,short,3321.1772760791278,-34,3375.618506989566,3248.5894678941204,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-13,3375.618506989566,-1851.001850954899,Stop-Loss
2023-01-13,BAJAJ-AUTO.NS,short,3360.555949631717,-34,3406.036488095941,3278.6690412627036,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-18,3406.036488095941,-1546.3383077836188,Stop-Loss
2023-01-18,BAJAJ-AUTO.NS,short,3402.7977955722076,-35,3438.807099551598,3315.2498763791195,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-24,3438.807099551598,-1260.3256392786693,Stop-Loss
2023-01-24,BAJAJ-AUTO.NS,short,3403.7363132904684,-36,3453.0439678449484,3332.62716722236,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-25,3453.0439678449484,-1775.0755639612798,Stop-Loss
2023-01-27,BAJAJ-AUTO.NS,long,3614.0057648629504,35,3435.216514883844,3561.957163097583,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-30,3561.957163097583,-1821.7010617878623,Take-Profit
2023-01-31,BAJAJ-AUTO.NS,short,3640.2896435908137,-20,3698.619221660892,3481.803033228186,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-27,3481.803033228186,3169.732207252555,Take-Profit
2023-03-06,BAJAJ-AUTO.NS,long,3493.570061930917,22,3416.8185346810565,3618.465749331508,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-21,3618.465749331508,2747.7051228130067,Take-Profit
2023-03-21,BAJAJ-AUTO.NS,long,3573.1722313773307,25,3495.5137186280467,3673.4314155271877,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-22,3673.4314155271877,2506.479603746425,Take-Profit
2023-03-22,BAJAJ-AUTO.NS,short,3681.357751212179,-23,3748.9736348216543,3556.048662685711,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-28,3556.048662685711,2882.10903610877,Take-Profit
2023-03-29,BAJAJ-AUTO.NS,short,3576.927207887316,-25,3633.3908786897,3460.2456741168585,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-31,3633.3908786897,-1411.5917700596015,Stop-Loss
2023-03-31,BAJAJ-AUTO.NS,long,3638.0834452011186,24,3562.305638414466,3747.1158382338367,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-03,3747.1158382338367,2616.777432785235,Take-Profit
2023-04-03,BAJAJ-AUTO.NS,long,3665.4467670792296,24,3569.483288421998,3749.482324421711,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,3749.482324421711,2016.8533762195511,Take-Profit
2023-04-05,BAJAJ-AUTO.NS,long,3749.1791402322324,22,3664.6146801637815,3861.3838769691247,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-11,3861.3838769691247,2468.5042082116306,Take-Profit
2023-04-11,BAJAJ-AUTO.NS,short,3829.907354667829,-24,3891.9268504961133,3706.913694781224,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-12,3891.9268504961133,-1488.4678998788186,Stop-Loss
2023-04-17,BAJAJ-AUTO.NS,short,4046.7479813573173,-21,4114.1886473695085,3907.216569132321,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-27,4114.1886473695085,-1416.253986256017,Stop-Loss
2023-04-27,BAJAJ-AUTO.NS,short,4036.4214464475717,-24,4114.864204946614,3929.642323092014,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,4114.864204946614,-1882.6262039770227,Stop-Loss
2023-04-28,BAJAJ-AUTO.NS,long,4127.804970185735,22,4053.0894328315953,4251.189024453706,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-08,4251.189024453706,2714.4491938953597,Take-Profit
2023-05-09,BAJAJ-AUTO.NS,long,4292.547062592831,23,4188.619871354008,4379.426271788406,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-01,4379.426271788406,1998.2218114982188,Take-Profit
2023-06-01,BAJAJ-AUTO.NS,short,4305.829778636234,-27,4357.222569943111,4193.827914555019,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-02,4357.222569943111,-1387.605365285689,Stop-Loss
2023-06-06,BAJAJ-AUTO.NS,long,4428.330296114619,27,4351.037222792105,4515.070975079277,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-08,4515.070975079277,2341.9983320457522,Take-Profit
2023-06-09,BAJAJ-AUTO.NS,long,4506.383311110996,28,4439.323708979987,4595.796089849601,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-14,4439.323708979987,-1877.6688596682616,Stop-Loss
2023-06-14,BAJAJ-AUTO.NS,short,4459.871239464512,-28,4530.450754886089,4376.387925776881,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-16,4376.387925776881,2337.532783253653,Take-Profit
2023-06-16,BAJAJ-AUTO.NS,long,4407.209621011004,30,4368.638049522002,4516.790217824831,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-19,4368.638049522002,-1157.1471446700616,Stop-Loss
2023-06-19,BAJAJ-AUTO.NS,long,4360.274506915446,28,4290.297738130468,4446.896798378126,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-20,4290.297738130468,-1959.3495259793854,Stop-Loss
2023-06-22,BAJAJ-AUTO.NS,long,4378.156446902902,28,4298.196658508237,4454.325190999433,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-30,4454.325190999433,2132.7248347028835,Take-Profit
2023-06-30,BAJAJ-AUTO.NS,long,4484.959225435858,27,4358.82960265352,4518.370100107807,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-03,4518.370100107807,902.0936161426334,Take-Profit
2023-07-03,BAJAJ-AUTO.NS,long,4532.556505120673,24,4461.446226809234,4641.703208004355,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-05,4641.703208004355,2619.5208692083543,Take-Profit
2023-07-05,BAJAJ-AUTO.NS,long,4496.519931891228,24,4396.505952139951,4578.968300792565,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-06,4578.968300792565,1978.760853632084,Take-Profit
2023-07-06,BAJAJ-AUTO.NS,short,4730.68372280059,-16,4849.602187590279,4572.238261598379,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-04,4572.238261598379,2535.127379235375,Take-Profit
2023-08-04,BAJAJ-AUTO.NS,long,4672.638967413652,23,4585.965362593009,4779.8495686259885,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-07,4585.965362593009,-1993.4929108747901,Stop-Loss
2023-08-07,BAJAJ-AUTO.NS,short,4589.004957853523,-21,4646.492142949321,4441.138405755073,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-11,4441.138405755073,3105.197594067441,Take-Profit
2023-08-11,BAJAJ-AUTO.NS,short,4485.539303830645,-24,4564.890946829701,4379.737689383316,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-24,4564.890946829701,-1904.4394319773419,Stop-Loss
2023-08-25,BAJAJ-AUTO.NS,short,4473.349787295324,-27,4547.788520166904,4387.981517381628,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-30,4547.788520166904,-2009.8457875326658,Stop-Loss
2023-08-30,BAJAJ-AUTO.NS,short,4536.184174441782,-27,4581.830690647848,4420.242510125786,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-08,4581.830690647848,-1232.4559375638019,Stop-Loss
2023-09-08,BAJAJ-AUTO.NS,short,4563.513541770499,-27,4631.817501199731,4472.443038764942,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-11,4631.817501199731,-1844.2069045892704,Stop-Loss
2023-09-11,BAJAJ-AUTO.NS,long,4623.300402387076,27,4536.134612214158,4695.6151134019565,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-14,4695.6151134019565,1952.4971974017662,Take-Profit
2023-09-14,BAJAJ-AUTO.NS,long,4658.078944637847,29,4586.355645912384,4738.6986570126555,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-15,4738.6986570126555,2337.9716588694564,Take-Profit
2023-09-18,BAJAJ-AUTO.NS,long,4957.060060580398,16,4847.144142316866,5118.286814150428,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-22,4847.144142316866,-1758.6546922165144,Stop-Loss
2023-09-22,BAJAJ-AUTO.NS,short,4886.438048651894,-16,5033.206624436707,4767.948133563558,Mock forecast (downtrend) due to missing Gemini API key.,2023-10-04,4767.948133563558,1895.838641413371,Take-Profit
2023-10-04,BAJAJ-AUTO.NS,long,4847.983418257565,18,4750.1935189030955,4990.108348493789,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-18,4990.108348493789,2558.2487442520305,Take-Profit
2023-10-18,BAJAJ-AUTO.NS,long,4982.212865852134,20,4879.843170468052,5098.9545487509295,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-19,5098.9545487509295,2334.833657975905,Take-Profit
2023-10-19,BAJAJ-AUTO.NS,long,5127.326062164883,21,4878.569853641554,5091.8487563425115,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-20,5091.8487563425115,-745.0234222698082,Take-Profit
2023-10-20,BAJAJ-AUTO.NS,short,5272.439078477073,-13,5452.984892836372,5105.299928041088,Mock forecast (downtrend) due to missing Gemini API key.,2023-10-26,5105.299928041088,2172.8089556678096,Take-Profit
2023-10-30,BAJAJ-AUTO.NS,long,5212.458557439706,13,5055.739964039046,5388.798863052106,Mock forecast (uptrend) due to missing Gemini API key.,2023-11-16,5388.798863052106,2292.4239729611973,Take-Profit
2023-11-16,BAJAJ-AUTO.NS,short,5340.158573316914,-16,5471.708515828314,5202.455702853915,Mock forecast (downtrend) due to missing Gemini API key.,2023-11-17,5471.708515828314,-2104.7990801824053,Stop-Loss
2023-11-17,BAJAJ-AUTO.NS,long,5375.855768646068,17,5257.524310864742,5520.088353742844,Mock forecast (uptrend) due to missing Gemini API key.,2023-11-21,5520.088353742844,2451.953946645198,Take-Profit
2023-11-21,BAJAJ-AUTO.NS,long,5456.732234427547,17,5355.801843709229,5613.089240939778,Mock forecast (uptrend) due to missing Gemini API key.,2023-11-23,5613.089240939778,2658.069110707931,Take-Profit
2023-11-23,BAJAJ-AUTO.NS,short,5611.03572897768,-17,5671.416448082516,5421.160881723313,Mock forecast (downtrend) due to missing Gemini API key.,2023-11-24,5671.416448082516,-1026.472224782202,Stop-Loss
2023-11-24,BAJAJ-AUTO.NS,long,5746.47498356148,16,5613.640381400193,5890.291340424742,Mock forecast (uptrend) due to missing Gemini API key.,2023-11-29,5890.291340424742,2301.0617098121875,Take-Profit
2023-11-29,BAJAJ-AUTO.NS,long,5814.193902982305,16,5688.191126618452,5955.449591592064,Mock forecast (uptrend) due to missing Gemini API key.,2023-12-04,5955.449591592064,2260.0910177561454,Take-Profit
