entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-13,BAJAJFINSV.NS,short,1392.4580735889654,-54,1419.96732831969,1339.5888503263507,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-20,1339.5888503263507,2854.9380561811936,Take-Profit
2023-01-23,BAJAJFINSV.NS,long,1327.8143336879807,65,1302.331542356441,1369.2459724960995,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-27,1302.331542356441,-1656.381436550074,Stop-Loss
2023-01-27,BAJAJFINSV.NS,short,1312.93882857749,-71,1338.702142092131,1276.8406253224712,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-30,1338.702142092131,-1829.1952595395048,Stop-Loss
2023-02-01,BAJAJFINSV.NS,short,1345.7847986037227,-67,1368.26438080263,1302.8832507267016,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-02,1302.8832507267016,2874.4037077604157,Take-Profit
2023-02-02,BAJAJFINSV.NS,short,1266.9146776615362,-54,1300.780185561979,1220.1299999798614,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,1300.780185561979,-1828.7374266239062,Stop-Loss
2023-02-06,BAJAJFINSV.NS,long,1335.2520009889636,43,1291.8834418242013,1393.0772045208564,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-09,1393.0772045208564,2486.483751871392,Take-Profit
2023-02-10,BAJAJFINSV.NS,short,1403.6895492659844,-43,1441.1383475681303,1340.3634288284304,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-23,1340.3634288284304,2723.023178814821,Take-Profit
2023-02-24,BAJAJFINSV.NS,short,1351.4755060926705,-54,1379.704717899021,1298.1123780877635,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-02,1379.704717899021,-1524.3774375429311,Stop-Loss
2023-03-03,BAJAJFINSV.NS,long,1354.7699935341957,59,1309.665195807949,1383.5781194565889,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-06,1383.5781194565889,1699.6794294211973,Take-Profit
2023-03-08,BAJAJFINSV.NS,long,1372.7404881433201,58,1345.9637777356352,1421.953976691028,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-10,1345.9637777356352,-1553.0492036457276,Stop-Loss
2023-03-10,BAJAJFINSV.NS,short,1337.7979612048166,-59,1381.9723848724773,1308.1343543497176,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-13,1308.1343543497176,1750.152804450843,Take-Profit
2023-03-14,BAJAJFINSV.NS,long,1297.8636671367533,60,1262.2901614408045,1335.278319901844,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-20,1262.2901614408045,-2134.4103417569295,Stop-Loss
2023-03-21,BAJAJFINSV.NS,long,1256.9310916393724,58,1210.8208190931707,1286.7304443341059,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-22,1286.7304443341059,1728.3624562945397,Take-Profit
2023-03-27,BAJAJFINSV.NS,long,1242.954172059148,53,1203.1046269967344,1285.9533114652916,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,1285.9533114652916,2278.954388525606,Take-Profit
2023-04-06,BAJAJFINSV.NS,short,1277.1977345279631,-55,1311.391579491954,1231.6057016279153,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-10,1311.391579491954,-1880.6614730194963,Stop-Loss
2023-04-11,BAJAJFINSV.NS,long,1310.7924778309111,55,1268.7080085743087,1348.501911419151,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-17,1348.501911419151,2074.0188473531884,Take-Profit
2023-04-17,BAJAJFINSV.NS,long,1342.789816069446,56,1305.502937820116,1383.8863416955746,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-21,1305.502937820116,-2088.0651819624873,Stop-Loss
2023-04-21,BAJAJFINSV.NS,short,1334.3037860321147,-63,1359.908950202079,1289.9137581289988,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-27,1359.908950202079,-1613.125342707756,Stop-Loss
2023-05-03,BAJAJFINSV.NS,long,1342.7897855876195,66,1318.49927741287,1384.611884673465,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-05,1384.611884673465,2760.258539665809,Take-Profit
2023-05-05,BAJAJFINSV.NS,long,1369.2462271135564,65,1343.3782433227896,1410.6086719888847,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-09,1410.6086719888847,2688.558916896337,Take-Profit
2023-05-09,BAJAJFINSV.NS,short,1408.6313123010516,-58,1434.8684925141285,1359.3220718301202,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-16,1434.8684925141285,-1521.7564523584633,Stop-Loss
2023-05-16,BAJAJFINSV.NS,long,1427.5504314957723,66,1390.4081210765396,1457.1558304265932,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-29,1457.1558304265932,1953.9563294341801,Take-Profit
2023-05-30,BAJAJFINSV.NS,long,1451.061514504956,77,1422.6952588760994,1479.7982485818675,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-07,1479.7982485818675,2212.7285239221846,Take-Profit
2023-06-08,BAJAJFINSV.NS,long,1480.5629876230155,84,1456.2296718326722,1508.1154424392496,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-16,1508.1154424392496,2314.4062045636647,Take-Profit
2023-06-19,BAJAJFINSV.NS,long,1520.4473594973028,80,1482.7559335642925,1537.2743558335476,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-20,1537.2743558335476,1346.1597068995798,Take-Profit
2023-06-21,BAJAJFINSV.NS,long,1523.3925144042312,72,1492.5956008360354,1553.1571188071612,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-23,1492.5956008360354,-2217.377776910098,Stop-Loss
2023-06-23,BAJAJFINSV.NS,short,1505.0226174892762,-75,1530.1955451781423,1471.8086904135187,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-28,1530.1955451781423,-1887.9695766649604,Stop-Loss
