entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,BAJFINANCE.NS,short,582.4203392028877,-123,596.656822347159,560.9535215384234,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-16,596.656822347159,-1751.0874267453755,Stop-Loss
2023-01-16,BAJFINANCE.NS,short,591.6350087868323,-123,604.6527742238344,569.1701210218666,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-27,569.1701210218666,2763.181195090772,Take-Profit
2023-01-30,BAJFINANCE.NS,short,568.9606001365855,-152,580.3765534250794,551.588077692342,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-31,580.3765534250794,-1735.2248998510613,Stop-Loss
2023-01-31,BAJFINANCE.NS,short,596.5653110580181,-117,609.8079445892528,572.4201567260483,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-01,572.4201567260483,2824.983056840469,Take-Profit
2023-02-01,BAJFINANCE.NS,long,586.113074383733,119,564.6376064542095,601.4944828982935,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-02,564.6376064542095,-2555.580683613292,Stop-Loss
2023-02-06,BAJFINANCE.NS,short,591.6350177145142,-99,611.9010168706802,567.8922110669575,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-08,611.9010168706802,-2006.3339164604345,Stop-Loss
2023-02-08,BAJFINANCE.NS,long,607.9049360580166,100,588.795862703561,632.359951616606,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-09,632.359951616606,2445.501555858948,Take-Profit
2023-02-09,BAJFINANCE.NS,short,628.6023945713303,-95,646.1431626865312,599.8650653111875,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-02,599.8650653111875,2730.0462797135565,Take-Profit
2023-03-02,BAJFINANCE.NS,short,607.9246438756742,-125,621.9378520025477,586.8591294588426,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-09,586.8591294588426,2633.189302103943,Take-Profit
2023-03-10,BAJFINANCE.NS,long,578.3231811722254,136,568.1241228425762,600.2740170367214,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-14,568.1241228425762,-1387.0719328322957,Stop-Loss
2023-03-14,BAJFINANCE.NS,short,575.8580806366215,-145,588.1373090749582,558.0016949964098,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-20,558.0016949964098,2589.175917830692,Take-Profit
2023-03-20,BAJFINANCE.NS,long,565.8989347367112,160,553.5017352737689,580.8982600321103,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-21,553.5017352737689,-1983.5519140707765,Stop-Loss
2023-03-22,BAJFINANCE.NS,long,566.9637981176454,135,549.1487934498917,581.5830621839984,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-23,581.5830621839984,1973.6006489576584,Take-Profit
2023-03-24,BAJFINANCE.NS,short,572.2984303651178,-132,589.410244119915,556.1893766552175,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-27,556.1893766552175,2126.3950897068407,Take-Profit
2023-03-27,BAJFINANCE.NS,short,561.8560633296048,-128,571.6733205790982,537.5499320989627,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-05,571.6733205790982,-1256.6089279351581,Stop-Loss
2023-04-05,BAJFINANCE.NS,short,575.0692795704823,-133,577.6008039584134,544.7858014278446,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-06,577.6008039584134,-336.6927435948344,Stop-Loss
2023-04-06,BAJFINANCE.NS,short,568.0682685304363,-135,582.0183168324099,549.5372027195472,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-10,582.0183168324099,-1883.256520766443,Stop-Loss
2023-04-10,BAJFINANCE.NS,long,586.2067195425491,123,569.7246943555671,605.2494391014314,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-27,605.2494391014314,2342.2545057425314,Take-Profit
2023-04-27,BAJFINANCE.NS,short,599.0304798742135,-147,609.9492132886477,580.0889965396156,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,609.9492132886477,-1605.0538119218274,Stop-Loss
2023-05-03,BAJFINANCE.NS,short,615.1081385639415,-142,629.4209935560891,598.5781609356312,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-04,629.4209935560891,-2032.4254088849682,Stop-Loss
2023-05-04,BAJFINANCE.NS,long,611.0603769764915,144,596.3706993572698,626.7928232202547,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-05,626.7928232202547,2265.4722591019017,Take-Profit
2023-05-05,BAJFINANCE.NS,long,629.1002889188387,127,615.3356102536509,649.823108854507,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-08,649.823108854507,2631.7981318298775,Take-Profit
2023-05-08,BAJFINANCE.NS,long,630.5300821397047,130,615.679631707128,649.2722708423189,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-09,649.2722708423189,2436.4845313398405,Take-Profit
2023-05-10,BAJFINANCE.NS,short,649.9060825822975,-111,662.9445471747687,623.6173330964021,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-12,662.9445471747687,-1447.2695697643032,Stop-Loss
2023-05-12,BAJFINANCE.NS,short,655.7288221580233,-115,673.3573723153403,635.3186289050672,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-16,673.3573723153403,-2027.2832680914576,Stop-Loss
2023-05-16,BAJFINANCE.NS,long,662.6312011571904,120,646.2795275530676,682.6617000789827,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-29,682.6617000789827,2403.6598706150744,Take-Profit
2023-05-30,BAJFINANCE.NS,short,685.1132982495279,-144,696.5230843421696,666.2305937612218,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-02,696.5230843421696,-1643.009197340396,Stop-Loss
2023-06-02,BAJFINANCE.NS,short,697.7102442822181,-152,706.5757608002469,677.7791939330041,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-13,706.5757608002469,-1347.5585107403795,Stop-Loss
2023-06-13,BAJFINANCE.NS,long,700.1014826857054,168,688.7424346518084,714.7177083874326,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-19,714.7177083874326,2455.5259178901724,Take-Profit
2023-06-20,BAJFINANCE.NS,long,727.3313634442941,155,716.2215456986314,744.4568436908872,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-21,716.2215456986314,-1722.0217505777134,Stop-Loss
2023-06-21,BAJFINANCE.NS,long,717.3574417044225,145,701.8749382629106,731.9725758057025,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-22,701.8749382629106,-2244.9629990192225,Stop-Loss
2023-06-22,BAJFINANCE.NS,short,709.9718356728554,-148,723.2419115786458,693.6704321855034,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-23,693.6704321855034,2412.6077161280946,Take-Profit
2023-06-23,BAJFINANCE.NS,short,692.3065830320296,-137,706.9030503257138,674.9268736542566,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-30,706.9030503257138,-1999.7160192347374,Stop-Loss
2023-06-30,BAJFINANCE.NS,long,703.0763070721459,148,686.4739621868775,716.0166913680175,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-03,716.0166913680175,1915.176875788994,Take-Profit
2023-07-03,BAJFINANCE.NS,long,709.0771772637288,146,696.2172653606052,726.2238016220576,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-04,726.2238016220576,2503.40715631601,Take-Profit
2023-07-04,BAJFINANCE.NS,short,757.5399413800967,-135,740.0436033215976,707.6229738915156,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-05,740.0436033215976,2362.0056378973754,Stop-Loss
