entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,BHARTIARTL.NS,long,751.003535990904,103,733.3229423388149,775.837619036528,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-03,775.837619036528,2557.9105536992806,Take-Profit
2023-02-03,BHARTIARTL.NS,short,765.6310354451344,-133,777.5794735446862,744.7747929234914,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-06,777.5794735446862,-1589.1422672403774,Stop-Loss
2023-02-06,BHARTIARTL.NS,long,775.2516542682598,126,763.4717555529556,798.288432374705,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-08,763.4717555529556,-1484.2672381283255,Stop-Loss
2023-02-08,BHARTIARTL.NS,long,763.7657278334337,133,757.4200205907608,790.3228664258605,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-09,757.4200205907608,-843.9790632754978,Stop-Loss
2023-02-09,BHARTIARTL.NS,short,755.9120975951042,-134,774.9198709476447,742.2506172195467,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-16,774.9198709476447,-2547.041629240417,Stop-Loss
2023-02-16,BHARTIARTL.NS,long,775.2026515251795,139,757.5306963346333,789.0299944053847,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-17,757.5306963346333,-2456.4017714859237,Stop-Loss
2023-02-17,BHARTIARTL.NS,long,771.5702619489032,143,756.9788645801589,787.5896633071841,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-22,756.9788645801589,-2086.5698237304364,Stop-Loss
2023-02-22,BHARTIARTL.NS,long,762.7840679552911,153,752.5272910507481,781.1554657734818,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-23,752.5272910507481,-1569.2868663950817,Stop-Loss
2023-02-23,BHARTIARTL.NS,long,759.8389062295378,156,745.9816057121964,774.0777890634257,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-24,745.9816057121964,-2161.7388807052585,Stop-Loss
2023-02-28,BHARTIARTL.NS,long,741.1865259043975,166,727.8318445629699,754.1825405827068,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-01,727.8318445629699,-2216.8771026769873,Stop-Loss
2023-03-01,BHARTIARTL.NS,long,728.817085888614,166,717.405492237209,743.6888765613255,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-03,743.6888765613255,2468.7172516701157,Take-Profit
2023-03-03,BHARTIARTL.NS,short,731.369469487613,-163,738.0377016145704,711.2543983355207,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-06,738.0377016145704,-1086.921836694071,Stop-Loss
2023-03-08,BHARTIARTL.NS,short,750.0218742423356,-131,766.8536467772267,733.535123795729,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-09,766.8536467772267,-2204.962202070736,Stop-Loss
2023-03-09,BHARTIARTL.NS,long,780.4547225536338,135,738.6378395243471,771.0416981797769,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-16,738.6378395243471,-5645.279208953706,Stop-Loss
2023-03-16,BHARTIARTL.NS,long,736.2780746781632,138,729.2163660596943,760.9264370506158,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-17,729.2163660596943,-974.5157893487021,Stop-Loss
2023-03-17,BHARTIARTL.NS,long,736.2780314382841,139,718.8541697598695,750.2328721235596,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-21,750.2328721235596,1939.7228552532924,Take-Profit
2023-03-21,BHARTIARTL.NS,short,746.0950764759731,-138,754.5325595714938,722.9338007796749,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-27,754.5325595714938,-1164.372667181863,Stop-Loss
2023-03-29,BHARTIARTL.NS,long,737.2597512201696,151,722.3356527988826,751.3174165481045,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,751.3174165481045,2122.707464518161,Take-Profit
2023-04-05,BHARTIARTL.NS,long,753.9487362257178,149,734.0275325304577,763.4448369971501,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-17,763.4448369971501,1414.9190149434185,Take-Profit
2023-04-19,BHARTIARTL.NS,short,747.4203628437542,-175,756.5607901259834,731.56817745572,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-20,756.5607901259834,-1599.574774390112,Stop-Loss
2023-04-20,BHARTIARTL.NS,short,750.0219121193314,-176,761.2888808778753,736.4882385821038,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-25,761.2888808778753,-1982.9865015037158,Stop-Loss
2023-04-26,BHARTIARTL.NS,long,765.631014351457,168,747.2848760181215,773.3706129003172,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-27,773.3706129003172,1300.2525562085066,Take-Profit
2023-04-28,BHARTIARTL.NS,long,775.3988499366408,162,760.5233901002331,787.55934868146,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-02,787.55934868146,1970.0007966607232,Take-Profit
2023-05-03,BHARTIARTL.NS,short,779.9637820212341,-154,787.9556683293233,759.4584008864232,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-18,787.9556683293233,-1230.7504914457356,Stop-Loss
2023-05-19,BHARTIARTL.NS,short,784.7251266074632,-168,795.8866129090761,769.8430773191485,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-25,795.8866129090761,-1875.1296986709785,Stop-Loss
2023-05-25,BHARTIARTL.NS,short,784.970549283074,-181,797.072585907844,772.9577842192289,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-26,797.072585907844,-2190.468629083369,Stop-Loss
