entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-13,BPCL.NS,long,152.66733822053754,630,149.53466438697495,156.48329640167663,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-27,149.53466438697495,-1973.5845151444328,Stop-Loss
2023-01-27,BPCL.NS,long,153.33034967123658,718,150.65383103762497,156.74434975419535,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-30,150.65383103762497,-1921.740378933134,Stop-Loss
2023-01-31,BPCL.NS,long,151.58443069285173,659,145.2681735050766,151.91014060814007,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,151.91014060814007,214.64283417501784,Take-Profit
2023-02-01,BPCL.NS,short,151.71705082995592,-602,154.8325391420789,147.5630079098453,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-02,147.5630079098453,2500.7338379065886,Take-Profit
2023-02-02,BPCL.NS,short,147.84952976566137,-580,151.1729284797481,143.62462787172913,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,143.62462787172913,2450.4430984807,Take-Profit
2023-02-03,BPCL.NS,long,146.72242471730996,597,143.69167131706652,151.02127845387224,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-06,143.69167131706652,-1809.3597799453341,Stop-Loss
2023-02-09,BPCL.NS,short,146.7887358954918,-594,150.87138080159437,143.5110054074445,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-16,143.5110054074445,1946.9719099001113,Take-Profit
2023-02-16,BPCL.NS,short,146.36880008373078,-675,149.14663213630064,142.66503532542728,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-21,142.66503532542728,2500.0412118548575,Take-Profit
2023-02-22,BPCL.NS,long,142.54550209294678,663,140.05041573552964,146.64577645581724,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-24,140.05041573552964,-1654.2422549675614,Stop-Loss
2023-02-24,BPCL.NS,long,141.7941102039674,701,139.00979553781164,145.248693636759,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-28,139.00979553781164,-1951.8045809751816,Stop-Loss
2023-02-28,BPCL.NS,long,140.18078985050482,717,139.02550711938022,145.1246005335347,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-02,139.02550711938022,-828.3377182163385,Stop-Loss
2023-03-03,BPCL.NS,long,142.63390576332338,720,139.30210171087535,145.37456690014798,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-15,145.37456690014798,1973.2760185137113,Take-Profit
2023-03-15,BPCL.NS,long,145.41850642181151,785,141.7928622564164,147.3649694654031,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-16,147.3649694654031,1527.9734892193999,Take-Profit
2023-03-16,BPCL.NS,long,148.07053543870128,769,143.55549337494494,149.24324923054218,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-17,149.24324923054218,901.8169059256455,Take-Profit
2023-03-22,BPCL.NS,short,158.3691495945659,-469,162.47511005036347,153.1523577420935,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-24,153.1523577420935,2446.6753788095543,Take-Profit
2023-03-24,BPCL.NS,short,153.77234709041142,-478,157.89175882082358,148.7439462060243,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-28,148.7439462060243,2403.575622737039,Take-Profit
2023-03-28,BPCL.NS,long,151.16453405805657,505,148.70830220934474,157.37882398291796,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-29,148.70830220934474,-1240.397083599478,Stop-Loss
2023-03-29,BPCL.NS,long,150.28053093491005,513,146.55673069438305,155.09090367051013,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-03,146.55673069438305,-1910.30952339035,Stop-Loss
2023-04-03,BPCL.NS,short,149.39653195646758,-526,155.74620795323966,147.42770926058932,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-05,147.42770926058932,1035.6007380319643,Take-Profit
2023-04-05,BPCL.NS,short,146.70032021366842,-471,149.82291524810796,140.52577059529614,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-11,149.82291524810796,-1470.742261221024,Stop-Loss
2023-04-11,BPCL.NS,short,148.5788412953177,-488,152.26927149985815,143.2972823686787,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-20,152.26927149985815,-1800.9299398157455,Stop-Loss
