entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-12,BRITANNIA.NS,long,4137.703923104454,28,4066.0532483393035,4222.060675391345,2023-01-18,4222.060675391345,2361.989064032965,Take-Profit
2023-01-18,BRITANNIA.NS,short,4176.692250023282,-29,4114.049442241624,4264.7986603445015,2023-01-19,4114.049442241624,1816.6414256680855,Stop-Loss
2023-01-19,BRITANNIA.NS,short,4195.660077643408,-29,4145.108702860673,4294.131430039936,2023-01-20,4145.108702860673,1465.9898686993256,Stop-Loss
2023-01-20,BRITANNIA.NS,short,4178.608514891111,-30,4126.065348595298,4271.912543018769,2023-01-23,4126.065348595298,1576.2949888743788,Stop-Loss
2023-01-24,BRITANNIA.NS,short,4167.879009487763,-30,4093.6241237992317,4237.93964483019,2023-01-25,4093.6241237992317,2227.646570655943,Stop-Loss
2023-01-25,BRITANNIA.NS,short,4199.6832636191375,-29,4147.592968326844,4296.071354730875,2023-01-27,4147.592968326844,1510.618563476508,Stop-Loss
2023-01-27,BRITANNIA.NS,short,4248.539410453102,-30,4141.711491415959,4286.254958059971,2023-01-30,4141.711491415959,3204.8375711142944,Stop-Loss
2023-01-30,BRITANNIA.NS,long,4211.657991435812,31,4135.940207818652,4276.627737231381,2023-01-31,4135.940207818652,-2347.251292131945,Stop-Loss
2023-01-31,BRITANNIA.NS,long,4232.253483962863,32,4162.05409780942,4300.70765474369,2023-02-01,4162.05409780942,-2246.380356910173,Stop-Loss
2023-02-02,BRITANNIA.NS,short,4328.959573247462,-28,4121.2699187748685,4275.066215071009,2023-02-03,4121.2699187748685,5815.310325232611,Stop-Loss
2023-02-03,BRITANNIA.NS,short,4397.022535610928,-20,4286.046799482566,4507.101825950329,2023-02-06,4286.046799482566,2219.514722567237,Stop-Loss
2023-02-06,BRITANNIA.NS,long,4411.392109069133,20,4339.991478472799,4559.902963598769,2023-02-15,4339.991478472799,-1428.0126119266788,Stop-Loss
2023-02-15,BRITANNIA.NS,short,4406.458212946518,-23,4325.681365377171,4514.16133704919,2023-02-16,4325.681365377171,1857.8674940949904,Stop-Loss
2023-02-20,BRITANNIA.NS,long,4344.574615228263,25,4267.130227755594,4443.362170284207,2023-02-21,4267.130227755594,-1936.1096868167124,Stop-Loss
2023-02-22,BRITANNIA.NS,long,4315.596125587092,24,4236.310403930197,4417.623725749321,2023-02-24,4236.310403930197,-1902.8573197654696,Stop-Loss
2023-02-24,BRITANNIA.NS,short,4272.488020344806,-25,4190.458459610694,4362.860888487824,2023-02-27,4190.458459610694,2050.739018352783,Stop-Loss
2023-03-01,BRITANNIA.NS,long,4252.371401464688,25,4199.287380584684,4374.000777710005,2023-03-02,4199.287380584684,-1327.1005220000916,Stop-Loss
2023-03-03,BRITANNIA.NS,long,4215.011210010454,25,4134.646198910879,4309.200250410494,2023-03-06,4134.646198910879,-2009.1252774893746,Stop-Loss
2023-03-08,BRITANNIA.NS,long,4138.230879590329,25,4062.3869603580474,4239.356285928854,2023-03-15,4062.3869603580474,-1896.097980807042,Stop-Loss
2023-03-16,BRITANNIA.NS,short,4084.6813513796765,-28,3997.9067372573522,4153.774659568322,2023-03-17,3997.9067372573522,2429.6891954250787,Stop-Loss
2023-03-17,BRITANNIA.NS,short,4144.074400812055,-27,4059.195115391869,4224.277769321258,2023-03-20,4059.195115391869,2291.740706345012,Stop-Loss
2023-03-20,BRITANNIA.NS,long,4181.099165592386,26,4107.090288388891,4275.195207929395,2023-03-21,4107.090288388891,-1924.2308072908727,Stop-Loss
2023-03-21,BRITANNIA.NS,long,4171.90274425339,27,4079.48787920157,4243.377000908323,2023-03-22,4079.48787920157,-2495.201356399128,Stop-Loss
2023-03-22,BRITANNIA.NS,short,4099.097713190271,-27,4014.948068290623,4179.334541758337,2023-03-23,4014.948068290623,2272.0404122904997,Stop-Loss
2023-03-23,BRITANNIA.NS,long,4071.3176066428437,27,3997.6529267176375,4157.130570366066,2023-03-28,3997.6529267176375,-1988.9463579805674,Stop-Loss
2023-04-06,BRITANNIA.NS,short,4145.84623425539,-29,4080.8432398840646,4231.9585252066645,2023-04-10,4080.8432398840646,1885.0868367684457,Stop-Loss
2023-04-13,BRITANNIA.NS,short,4130.404373164022,-32,4032.914824768374,4170.130819579668,2023-04-17,4032.914824768374,3119.6655486607488,Stop-Loss
2023-04-17,BRITANNIA.NS,long,4168.405490637337,30,4092.5285111085277,4238.199615396963,2023-04-18,4238.199615396963,2093.8237427887907,Take-Profit
2023-04-18,BRITANNIA.NS,short,4239.486773809031,-28,4160.848574969066,4316.259191707911,2023-04-19,4160.848574969066,2201.869567519003,Stop-Loss
2023-04-20,BRITANNIA.NS,long,4184.970121968217,29,4119.962341527022,4269.032633172304,2023-04-25,4269.032633172304,2437.8128249184983,Take-Profit
2023-04-25,BRITANNIA.NS,short,4202.508943569856,-29,4135.4629194470845,4287.356244122638,2023-04-26,4135.4629194470845,1944.3346995603615,Stop-Loss
2023-04-26,BRITANNIA.NS,short,4287.279946438706,-26,4218.434687691285,4384.871262765787,2023-04-27,4218.434687691285,1789.9767274329515,Stop-Loss
2023-04-27,BRITANNIA.NS,long,4294.100746699815,27,4222.717195676838,4384.731401857966,2023-04-28,4384.731401857966,2447.0276892700786,Take-Profit
2023-05-04,BRITANNIA.NS,long,4411.075174790949,24,4332.616301177991,4515.800986450179,2023-05-05,4515.800986450179,2513.419479821525,Take-Profit
2023-05-05,BRITANNIA.NS,short,4476.943269603654,-24,4390.494803883562,4574.9291286760845,2023-05-08,4390.494803883562,2074.763177282206,Stop-Loss
2023-05-09,BRITANNIA.NS,long,4505.541675596945,24,4403.829346441857,4582.954263337941,2023-05-19,4403.829346441857,-2441.0958997221314,Stop-Loss
2023-05-19,BRITANNIA.NS,short,4470.463930601855,-27,4378.92621998285,4538.743718408284,2023-05-22,4378.92621998285,2471.518186713144,Stop-Loss
2023-05-22,BRITANNIA.NS,short,4384.718223109775,-27,4314.779986709184,4477.628637512754,2023-05-23,4314.779986709184,1888.3323828159446,Stop-Loss
2023-05-25,BRITANNIA.NS,short,4462.668851500561,-29,4339.141559280449,4490.502986063569,2023-05-26,4339.141559280449,3582.291474383249,Stop-Loss
2023-05-26,BRITANNIA.NS,long,4464.6176888220125,29,4381.2714191793475,4533.22990463587,2023-05-31,4533.22990463587,1989.7542586018762,Take-Profit
2023-06-01,BRITANNIA.NS,long,4535.747459283648,28,4471.362207399963,4626.2545242479655,2023-06-07,4626.2545242479655,2534.197819000892,Take-Profit
2023-06-07,BRITANNIA.NS,short,4594.2103577516045,-31,4523.428337834104,4666.760588617028,2023-06-08,4523.428337834104,2194.242617442509,Stop-Loss
2023-06-08,BRITANNIA.NS,long,4776.321913705216,22,4681.0075615420665,4883.514820287661,2023-06-15,4883.514820287661,2358.243944813794,Take-Profit
2023-06-15,BRITANNIA.NS,short,4823.190073291499,-24,4737.181713852468,4918.8830403842085,2023-06-16,4737.181713852468,2064.200626536738,Stop-Loss
2023-06-21,BRITANNIA.NS,long,4940.700632484918,25,4851.974813179247,5026.830782948505,2023-06-22,4851.974813179247,-2218.145482641785,Stop-Loss
2023-06-22,BRITANNIA.NS,short,4935.243778368153,-26,4866.560450715186,5037.166306598503,2023-06-23,5037.166306598503,-2649.985733989113,Take-Profit
2023-06-26,BRITANNIA.NS,long,4851.398970843845,25,4767.323904291743,4944.967867194343,2023-07-05,4944.967867194343,2339.2224087624527,Take-Profit
2023-07-06,BRITANNIA.NS,short,5065.8113927419645,-25,4891.638731171763,5064.092206093899,2023-07-07,4891.638731171763,4354.316539255046,Stop-Loss
2023-07-07,BRITANNIA.NS,long,5041.012655637044,25,4965.08054857134,5142.256696956963,2023-07-10,4965.08054857134,-1898.3026766426065,Stop-Loss
2023-07-10,BRITANNIA.NS,long,4943.039076957921,22,4839.656631044485,5038.820781003186,2023-07-17,5038.820781003186,2107.197488995842,Take-Profit
2023-07-17,BRITANNIA.NS,long,5018.018052405263,24,4923.30841644177,5106.21573120264,2023-07-18,4923.30841644177,-2273.031263123841,Stop-Loss
2023-07-18,BRITANNIA.NS,short,5018.066300537276,-25,4935.2874534888215,5113.547392744072,2023-07-19,4935.2874534888215,2069.4711762113684,Stop-Loss
2023-07-19,BRITANNIA.NS,long,4951.75971863208,24,4855.155875782777,5040.095062758381,2023-07-24,4855.155875782777,-2318.492228383271,Stop-Loss
2023-07-24,BRITANNIA.NS,long,4917.704779936375,26,4844.605218562234,5015.171557542022,2023-07-25,4844.605218562234,-1900.5885957276805,Stop-Loss
2023-07-25,BRITANNIA.NS,short,4878.729799857261,-25,4766.315305269058,4941.992353391257,2023-07-26,4766.315305269058,2810.362364705088,Stop-Loss
2023-07-26,BRITANNIA.NS,long,4774.471266251914,24,4683.209352700745,4863.414059680257,2023-07-27,4683.209352700745,-2190.2859252280687,Stop-Loss
2023-07-31,BRITANNIA.NS,long,4779.440633929649,22,4690.763232129843,4893.698177472709,2023-08-01,4690.763232129843,-1950.9028395957303,Stop-Loss
2023-08-01,BRITANNIA.NS,short,4701.489935861889,-21,4581.157938867816,4791.111843228329,2023-08-02,4581.157938867816,2526.971936875534,Stop-Loss
2023-08-03,BRITANNIA.NS,long,4686.72796550799,22,4600.2300435764855,4800.921628095935,2023-08-07,4600.2300435764855,-1902.9542824931013,Stop-Loss
