entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,DIVISLAB.NS,long,3361.5348946475565,25,3273.9944240835675,3447.22439419066,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-13,3273.9944240835675,-2188.5117640997237,Stop-Loss
2023-01-13,DIVISLAB.NS,long,3260.296523222227,24,3165.8561370938455,3348.315433744664,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-23,3348.315433744664,2112.4538525384924,Take-Profit
2023-01-23,DIVISLAB.NS,short,3281.152895041548,-26,3352.86349681908,3185.65254460581,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-01,3352.86349681908,-1864.4756462158266,Stop-Loss
2023-02-01,DIVISLAB.NS,short,3270.4054464366186,-28,3321.0770697303196,3164.255720177282,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,3164.255720177282,2972.192335261425,Take-Profit
2023-02-06,DIVISLAB.NS,long,2757.9307218899053,14,2696.9330919672457,3009.5302914395056,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-07,2696.9330919672457,-853.9668189172344,Stop-Loss
2023-02-08,DIVISLAB.NS,long,2706.8453223059364,15,2576.2252281265546,2864.745919789594,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-20,2864.745919789594,2368.508962254866,Take-Profit
2023-02-20,DIVISLAB.NS,long,2781.9767862725066,17,2667.0616935493126,2924.4337738352915,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-12,2924.4337738352915,2421.768788567343,Take-Profit
2023-04-19,DIVISLAB.NS,short,3200.573813789643,-16,3326.204073151998,3055.0526908754614,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-09,3326.204073151998,-2010.0841497976799,Stop-Loss
2023-05-09,DIVISLAB.NS,long,3242.678657921923,20,3131.4285009748037,3350.7070670596368,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-10,3350.7070670596368,2160.5681827542776,Take-Profit
2023-05-11,DIVISLAB.NS,long,3346.8130869995557,19,3264.2988924618694,3491.755448071674,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-12,3264.2988924618694,-1567.7696962160398,Stop-Loss
2023-05-12,DIVISLAB.NS,long,3249.6473128550433,19,3167.940176427791,3400.270357210862,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-18,3167.940176427791,-1552.4355921177957,Stop-Loss
2023-05-18,DIVISLAB.NS,long,3223.1477642649043,21,3118.121599071622,3326.540748763879,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-19,3118.121599071622,-2205.5494690589303,Stop-Loss
2023-05-19,DIVISLAB.NS,long,3085.741804765198,20,3002.2579661726404,3218.809853696896,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-22,3002.2579661726404,-1669.6767718511546,Stop-Loss
2023-05-23,DIVISLAB.NS,short,3180.993492291937,-17,3314.5180833715094,3057.8080828484044,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-24,3314.5180833715094,-2269.918048352732,Stop-Loss
2023-05-24,DIVISLAB.NS,short,3297.7395124129507,-16,3440.884184275163,3165.9640726591574,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-26,3440.884184275163,-2290.314749795398,Stop-Loss
2023-05-26,DIVISLAB.NS,short,3371.9874682245977,-16,3486.052569720329,3219.9002846437284,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-01,3486.052569720329,-1825.0416239316983,Stop-Loss
2023-06-01,DIVISLAB.NS,long,3387.5930425366537,18,3273.2494145003616,3521.8453444682677,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-12,3273.2494145003616,-2058.185304653258,Stop-Loss
2023-06-12,DIVISLAB.NS,short,3247.6843475286764,-19,3464.670118272347,3232.6095200379127,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-15,3464.670118272347,-4122.729644129738,Stop-Loss
2023-06-19,DIVISLAB.NS,short,3515.47853977719,-20,3609.3863581837977,3385.1154709893112,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-05,3609.3863581837977,-1878.1563681321586,Stop-Loss
