entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,DRREDDY.NS,short,847.662062754063,-137,831.3378794277979,863.2983344283006,2023-01-16,831.3378794277979,2236.413115698309,Stop-Loss
2023-01-17,DRREDDY.NS,long,850.5927852805977,144,835.0458839312162,865.4214060604618,2023-01-24,835.0458839312162,-2238.75379431094,Stop-Loss
2023-01-24,DRREDDY.NS,short,850.9947081387762,-159,838.5972512262689,866.0836495694019,2023-01-25,866.0836495694019,-2399.141687469488,Take-Profit
2023-01-25,DRREDDY.NS,long,835.1156895852458,149,821.0741619103518,850.5215194710935,2023-01-27,850.5215194710935,2295.4686529913,Take-Profit
2023-01-27,DRREDDY.NS,short,839.0364900115767,-149,810.9916296566983,840.270539526746,2023-01-30,810.9916296566983,4178.684192876887,Stop-Loss
2023-01-31,DRREDDY.NS,short,851.778873944687,-128,833.978801048538,868.1021381527305,2023-02-01,833.978801048538,2278.4093307070725,Stop-Loss
2023-02-01,DRREDDY.NS,long,850.9947405837944,132,833.4790654019595,866.6414788781166,2023-02-03,866.6414788781166,2065.3694548505273,Take-Profit
2023-02-03,DRREDDY.NS,short,857.6599605740065,-136,842.9552078468913,875.0248514515407,2023-02-06,842.9552078468913,1999.8463708876661,Stop-Loss
2023-02-07,DRREDDY.NS,short,858.7675923340935,-144,839.6743975969662,869.9994238095139,2023-02-08,839.6743975969662,2749.420042146332,Stop-Loss
2023-02-13,DRREDDY.NS,long,883.7524386564083,138,868.5191325771887,900.1754379765089,2023-02-27,868.5191325771887,-2102.196238932317,Stop-Loss
2023-02-27,DRREDDY.NS,long,880.4197339810671,165,869.0895401177554,895.5268127205969,2023-02-28,869.0895401177554,-1869.4819874464315,Stop-Loss
2023-02-28,DRREDDY.NS,long,870.2063444519921,157,854.7368754566352,882.5985947687574,2023-03-01,854.7368754566352,-2428.706632271036,Stop-Loss
2023-03-01,DRREDDY.NS,short,846.1820077840162,-141,832.8925967292517,863.9700069326123,2023-03-02,832.8925967292517,1873.8069587217806,Stop-Loss
2023-03-02,DRREDDY.NS,long,854.3272678873398,142,838.3981918486695,869.253908264274,2023-03-03,869.253908264274,2119.5829335246544,Take-Profit
2023-03-06,DRREDDY.NS,long,869.8142615981827,138,856.4003078489203,888.1340621910228,2023-03-10,856.4003078489203,-1851.1256173982138,Stop-Loss
2023-03-10,DRREDDY.NS,short,857.2580910413218,-147,846.0536697894852,875.8566019017801,2023-03-13,846.0536697894852,1647.049924019981,Stop-Loss
2023-03-13,DRREDDY.NS,long,857.6599301148591,150,849.1772211412084,878.3701504575555,2023-03-14,849.1772211412084,-1272.4063460476032,Stop-Loss
2023-03-15,DRREDDY.NS,short,854.1214837935546,-158,840.7829291545194,868.5213817327763,2023-03-16,840.7829291545194,2107.4916329675675,Stop-Loss
2023-03-20,DRREDDY.NS,long,868.6379833534105,154,857.4981478143274,885.8468299324594,2023-03-27,885.8468299324594,2650.16237317353,Take-Profit
2023-03-27,DRREDDY.NS,long,880.2041336243547,163,863.6111702256287,890.503831951766,2023-03-28,890.503831951766,1678.850827368043,Take-Profit
2023-03-29,DRREDDY.NS,short,891.8584955751502,-164,876.0124921443122,902.6261253831045,2023-03-31,876.0124921443122,2598.744562657429,Stop-Loss
2023-03-31,DRREDDY.NS,short,898.4355013368462,-164,884.0138734544049,910.7115842548039,2023-04-03,884.0138734544049,2365.1469727203685,Stop-Loss
2023-04-06,DRREDDY.NS,long,920.1857858544839,165,906.6392758325474,933.1476322232702,2023-04-10,933.1476322232702,2138.704650849734,Take-Profit
2023-04-10,DRREDDY.NS,long,927.644989092443,169,910.162649363244,936.0429608424976,2023-04-11,936.0429608424976,1419.2572257592242,Take-Profit
2023-04-11,DRREDDY.NS,long,935.6823948730481,165,921.6805459211587,948.2451322939238,2023-04-12,948.2451322939238,2072.851674444489,Take-Profit
2023-04-12,DRREDDY.NS,short,933.7907614433096,-169,922.6793827528545,948.6056716290065,2023-04-13,922.6793827528545,1877.8229986869164,Stop-Loss
2023-04-17,DRREDDY.NS,long,956.0605657625891,143,938.2604993994064,968.7929262565206,2023-04-24,938.2604993994064,-2545.409489935131,Stop-Loss
2023-04-24,DRREDDY.NS,short,951.5613708042224,-147,941.7357823185266,971.409297077902,2023-04-25,941.7357823185266,1444.361507397281,Stop-Loss
2023-04-25,DRREDDY.NS,short,941.6714392051382,-141,928.9161920619526,959.8445523483861,2023-04-26,928.9161920619526,1798.4898471891634,Stop-Loss
2023-04-26,DRREDDY.NS,long,942.9358699414931,144,934.4876015186807,964.8579823175403,2023-04-27,964.8579823175403,3156.78418215079,Take-Profit
2023-04-28,DRREDDY.NS,short,964.2156842004946,-142,950.9927311380239,981.8461786323743,2023-05-02,950.9927311380239,1877.6593348708325,Stop-Loss
2023-05-02,DRREDDY.NS,long,961.2456692925612,145,953.5386352113875,983.6204631100771,2023-05-08,953.5386352113875,-1117.5199417701829,Stop-Loss
2023-05-08,DRREDDY.NS,short,969.4007493352597,-157,957.0030840226025,984.787534291478,2023-05-09,957.0030840226025,1946.4334540871776,Stop-Loss
2023-05-11,DRREDDY.NS,short,916.4709492461445,-152,941.8122494982576,970.6439700700314,2023-05-12,970.6439700700314,-8234.299165230805,Take-Profit
2023-05-12,DRREDDY.NS,short,890.9762997913284,-75,863.5726598210364,921.5911899000764,2023-05-15,863.5726598210364,2055.2729977719027,Stop-Loss
2023-05-16,DRREDDY.NS,long,886.6733252932327,78,861.6469541464725,918.0065961315263,2023-05-19,861.6469541464725,-1952.0569494472954,Stop-Loss
2023-05-22,DRREDDY.NS,long,864.3251467757084,88,839.6776337286606,889.3896605623069,2023-05-26,889.3896605623069,2205.677213220665,Take-Profit
2023-05-29,DRREDDY.NS,long,891.5546398837789,92,867.8111712205845,915.4594743426062,2023-06-07,915.4594743426062,2199.24477021211,Take-Profit
2023-06-07,DRREDDY.NS,long,911.5700227176801,102,890.5688730779851,933.4650336499261,2023-06-15,933.4650336499261,2233.291115089093,Take-Profit
2023-06-16,DRREDDY.NS,long,949.7676755202867,108,924.2349315401889,964.8744207068315,2023-06-19,964.8744207068315,1631.5284801468383,Take-Profit
2023-06-19,DRREDDY.NS,short,970.5770591557821,-100,944.8575444734952,988.4253939897669,2023-06-20,944.8575444734952,2571.95146822869,Stop-Loss
2023-06-20,DRREDDY.NS,long,956.4623780023577,102,938.106340496875,980.9371514729168,2023-06-23,980.9371514729168,2496.426893997024,Take-Profit
2023-06-23,DRREDDY.NS,long,960.7751265519353,110,943.4231493186306,983.2023414358363,2023-06-26,983.2023414358363,2466.9936372291104,Take-Profit
2023-06-27,DRREDDY.NS,long,988.3378907519858,106,970.720060534466,1011.8283307457119,2023-06-30,1011.8283307457119,2489.986639334968,Take-Profit
2023-06-30,DRREDDY.NS,long,1002.923050771939,106,983.7109844482446,1024.811094628903,2023-07-06,1024.811094628903,2320.1326488381874,Take-Profit
2023-07-06,DRREDDY.NS,short,1015.165430262447,-106,997.3838045594861,1038.8289181394352,2023-07-07,997.3838045594861,1884.8523245138579,Stop-Loss
2023-07-10,DRREDDY.NS,long,1018.4000556716256,106,998.3436832577048,1039.4471918543102,2023-07-19,1039.4471918543102,2230.996435364561,Take-Profit
2023-07-19,DRREDDY.NS,short,1024.2008823064891,-101,1006.9899209772392,1050.3754992438894,2023-07-20,1006.9899209772392,1738.3070942542427,Stop-Loss
2023-07-20,DRREDDY.NS,short,1037.0428294525377,-103,1013.3584024054306,1055.8756457510924,2023-07-21,1013.3584024054306,2439.495985852029,Stop-Loss
