entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-17,GRASIM.NS,long,1614.4614861559032,77,1596.524921443036,1653.2893625551187,2023-01-18,1653.2893625551187,2989.7464827395925,Take-Profit
2023-01-18,GRASIM.NS,long,1640.0253959181928,77,1608.342974106298,1665.5208506056651,2023-01-23,1608.342974106298,-2439.546479515896,Stop-Loss
2023-01-23,GRASIM.NS,long,1635.1091544034098,78,1603.3984582231494,1659.8398974993424,2023-01-24,1603.3984582231494,-2473.434302060308,Stop-Loss
2023-01-27,GRASIM.NS,long,1567.2173252943385,79,1543.3584392544822,1598.570502217982,2023-01-30,1543.3584392544822,-1884.851997148649,Stop-Loss
2023-01-30,GRASIM.NS,short,1553.3537301327428,-81,1528.965762724395,1582.6593378518482,2023-01-31,1528.965762724395,1975.42536007617,Stop-Loss
2023-01-31,GRASIM.NS,short,1575.5746343150345,-77,1547.3887889792347,1604.3233301891453,2023-02-01,1547.3887889792347,2170.3100908565802,Stop-Loss
2023-02-01,GRASIM.NS,long,1566.2833586914262,79,1539.8961724346245,1595.0421232772715,2023-02-02,1539.8961724346245,-2084.587714287332,Stop-Loss
2023-02-02,GRASIM.NS,long,1548.5852624915472,82,1538.2015807885527,1591.7958008105757,2023-02-03,1591.7958008105757,3543.264142160337,Take-Profit
2023-02-06,GRASIM.NS,short,1590.6674161151625,-78,1565.3172213470527,1621.1407182169505,2023-02-07,1565.3172213470527,1977.3151919125612,Stop-Loss
2023-02-07,GRASIM.NS,long,1592.4372156511517,80,1567.6134348799296,1622.094074131448,2023-02-09,1622.094074131448,2372.5486784237,Take-Profit
2023-02-10,GRASIM.NS,long,1612.4950867149917,81,1592.5958848578691,1646.9420184316953,2023-02-13,1592.5958848578691,-1611.8353504269253,Stop-Loss
2023-02-16,GRASIM.NS,long,1604.825730377302,81,1575.661893068404,1629.8312210259821,2023-02-17,1629.8312210259821,2025.4447425430842,Take-Profit
2023-02-17,GRASIM.NS,long,1597.8448847345776,83,1579.6260842149177,1632.575011085839,2023-02-22,1579.6260842149177,-1512.1604431317724,Stop-Loss
2023-02-22,GRASIM.NS,long,1606.8413942310158,86,1584.0401463374596,1634.7195428391165,2023-02-23,1584.0401463374596,-1960.9073188458278,Stop-Loss
2023-02-23,GRASIM.NS,long,1555.467631942868,67,1519.7068190467112,1585.1394837840726,2023-03-13,1585.1394837840726,1988.014073360713,Take-Profit
2023-03-15,GRASIM.NS,short,1535.803052004475,-81,1511.936356833904,1565.7902612006278,2023-03-16,1511.936356833904,1933.2023088162423,Stop-Loss
2023-03-16,GRASIM.NS,short,1532.115952605514,-84,1502.151416862145,1554.51800017339,2023-03-17,1502.151416862145,2517.0210024429934,Stop-Loss
2023-03-17,GRASIM.NS,short,1543.6691195036303,-84,1511.857897794199,1564.173925987943,2023-03-20,1511.857897794199,2672.1426235922263,Stop-Loss
2023-03-20,GRASIM.NS,long,1524.9876436109316,78,1534.60737825476,1590.7379325092782,2023-03-23,1590.7379325092782,5128.522534071029,Take-Profit
2023-03-23,GRASIM.NS,short,1582.8998369236922,-81,1562.5599861473852,1616.9024403451533,2023-03-24,1562.5599861473852,1647.5279128808672,Stop-Loss
2023-03-24,GRASIM.NS,long,1578.0820406517782,83,1556.3275337693242,1609.2675526304845,2023-03-27,1609.2675526304845,2588.3974942326186,Take-Profit
2023-03-28,GRASIM.NS,short,1595.780167871082,-73,1578.039421791964,1637.6733083789438,2023-03-29,1578.039421791964,1295.0744637756159,Stop-Loss
2023-03-29,GRASIM.NS,long,1592.0439238221165,73,1558.510783379252,1618.1716166271433,2023-03-31,1618.1716166271433,1907.321574766953,Take-Profit
2023-03-31,GRASIM.NS,short,1608.2671087240144,-72,1578.2097156492384,1639.1669123374738,2023-04-03,1578.2097156492384,2164.13230138387,Stop-Loss
2023-04-03,GRASIM.NS,short,1602.4660462496233,-74,1579.8929538982,1639.2166213649,2023-04-05,1579.8929538982,1670.4088340053304,Stop-Loss
2023-04-06,GRASIM.NS,long,1636.2400195600612,70,1604.8022463938482,1666.9152828029942,2023-04-10,1666.9152828029942,2147.268427005306,Take-Profit
2023-04-10,GRASIM.NS,long,1646.8588394220671,72,1614.9021103714397,1675.9321959370388,2023-04-11,1675.9321959370388,2093.281669077962,Take-Profit
