entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,HCLTECH.NS,short,955.0167722088171,-96,968.9259349749633,923.449929310726,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-13,968.9259349749633,-1335.2796255500361,Stop-Loss
2023-01-13,HCLTECH.NS,long,939.6250960465859,94,944.6383204474247,991.2224941234857,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-17,991.2224941234857,4850.155419228583,Take-Profit
2023-01-18,HCLTECH.NS,short,1007.178226239731,-93,1020.2756786224533,973.1234156453228,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-24,1020.2756786224533,-1218.063071593172,Stop-Loss
2023-01-25,HCLTECH.NS,short,1030.732779138074,-98,1052.52358856475,1008.0363789839791,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-27,1008.0363789839791,2224.247215101292,Take-Profit
2023-01-30,HCLTECH.NS,short,1013.2489889998036,-99,1032.1122453572373,988.098203293215,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-31,1032.1122453572373,-1867.4623793859332,Stop-Loss
2023-01-31,HCLTECH.NS,long,1031.7773059726999,97,1011.2570459068044,1056.488815093011,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-10,1011.2570459068044,-1990.4652263918647,Stop-Loss
2023-02-10,HCLTECH.NS,short,1022.5133030670813,-101,1059.7876473044778,1016.3650867971545,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-13,1016.3650867971545,620.9698432626088,Take-Profit
2023-02-13,HCLTECH.NS,long,1018.3806137126089,92,992.8854720059836,1040.506524792803,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-16,1040.506524792803,2035.5838193778573,Take-Profit
2023-02-16,HCLTECH.NS,long,1034.1388004692246,96,1009.4352163541193,1054.9977958377367,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-17,1009.4352163541193,-2371.5440750501075,Stop-Loss
2023-02-20,HCLTECH.NS,short,1007.7541046853812,-98,1026.9669280922735,982.1369710397289,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-27,982.1369710397289,2510.4790972739256,Take-Profit
