entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-13,HEROMOTOCO.NS,long,2427.3244458490854,44,2394.7453522221776,2493.8755818027216,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-16,2493.8755818027216,2928.249981959996,Take-Profit
2023-01-17,HEROMOTOCO.NS,long,2501.230446735371,43,2451.845064501336,2553.569292253427,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-30,2451.845064501336,-2123.571436063514,Stop-Loss
2023-01-30,HEROMOTOCO.NS,long,2463.2822539413305,47,2435.457337560982,2528.0323064291074,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-31,2435.457337560982,-1307.7710698763767,Stop-Loss
2023-01-31,HEROMOTOCO.NS,long,2464.5487751372743,47,2405.0020015180094,2497.1913417259875,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,2497.1913417259875,1534.2006296695195,Take-Profit
2023-02-01,HEROMOTOCO.NS,short,2510.773965368001,-43,2543.649966029782,2440.977454147791,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-02,2440.977454147791,3001.249982469032,Take-Profit
2023-02-02,HEROMOTOCO.NS,short,2432.480389982761,-43,2510.8768361057223,2408.6878187861203,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,2408.6878187861203,1023.0805614555584,Take-Profit
2023-02-03,HEROMOTOCO.NS,long,2419.182766363155,41,2360.894541730526,2468.721747093674,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-08,2360.894541730526,-2389.8172099378057,Stop-Loss
2023-02-08,HEROMOTOCO.NS,short,2405.3874528805804,-41,2445.770595702219,2337.930058594958,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-09,2337.930058594958,2765.7531657105137,Take-Profit
2023-02-09,HEROMOTOCO.NS,short,2364.635092468073,-41,2410.758644388623,2304.508575059961,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-14,2304.508575059961,2465.1872137325836,Take-Profit
2023-02-14,HEROMOTOCO.NS,short,2328.8125915700357,-42,2362.0504231046316,2257.3736871625747,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-21,2362.0504231046316,-1395.9889244530277,Stop-Loss
2023-02-21,HEROMOTOCO.NS,long,2357.633565419719,42,2301.8584550079477,2404.8189349894033,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-27,2301.8584550079477,-2342.5546372944027,Stop-Loss
2023-02-28,HEROMOTOCO.NS,short,2272.192066254267,-47,2302.332549305041,2209.4816497547367,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-02,2302.332549305041,-1416.6027033863797,Stop-Loss
2023-03-02,HEROMOTOCO.NS,long,2268.062155583187,49,2218.31648978268,2307.53325450851,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-06,2307.53325450851,1934.0838473408085,Take-Profit
2023-03-06,HEROMOTOCO.NS,short,2294.5157305152948,-49,2323.4350503229653,2233.323741496463,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-10,2233.323741496463,2998.407461922764,Take-Profit
2023-03-10,HEROMOTOCO.NS,short,2243.46464102885,-50,2305.585699136964,2218.679842556964,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-13,2218.679842556964,1239.2399235943003,Take-Profit
2023-03-13,HEROMOTOCO.NS,short,2266.5767922081586,-52,2301.2674612568717,2216.857577699171,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-14,2216.857577699171,2585.3991544673518,Take-Profit
2023-03-14,HEROMOTOCO.NS,long,2222.9973588428343,50,2178.0012231661412,2265.883460257645,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-17,2178.0012231661412,-2249.8067838346515,Stop-Loss
2023-03-21,HEROMOTOCO.NS,short,2176.5875910788136,-57,2204.029769501823,2127.8694870184027,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-23,2204.029769501823,-1564.2041701115363,Stop-Loss
2023-03-23,HEROMOTOCO.NS,long,2195.198191034226,59,2152.512584774185,2226.5557300667115,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-24,2152.512584774185,-2518.450769342414,Stop-Loss
2023-03-27,HEROMOTOCO.NS,long,2153.382615089094,57,2114.328948416642,2191.1606859653107,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-28,2114.328948416642,-2226.059000329763,Stop-Loss
2023-03-28,HEROMOTOCO.NS,long,2135.792883336054,59,2110.873970369061,2185.479237424585,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-29,2110.873970369061,-1470.215865052563,Stop-Loss
2023-03-31,HEROMOTOCO.NS,short,2148.555948643885,-47,2178.8897812644054,2085.1533873505846,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-03,2178.8897812644054,-1425.690133164454,Stop-Loss
2023-04-03,HEROMOTOCO.NS,long,2213.7620380674985,44,2135.86564562564,2236.0818084366465,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,2236.0818084366465,982.069896242514,Take-Profit
2023-04-05,HEROMOTOCO.NS,short,2265.5558713868777,-36,2308.414126358224,2187.4030724077843,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-24,2308.414126358224,-1542.8971789684729,Stop-Loss
2023-04-24,HEROMOTOCO.NS,short,2283.3307823153577,-45,2324.854135960492,2226.6675485370524,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-25,2324.854135960492,-1868.5509140310387,Stop-Loss
2023-04-25,HEROMOTOCO.NS,short,2325.0537919609196,-43,2365.0819580434513,2263.3440103691482,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,2365.0819580434513,-1721.211141548863,Stop-Loss
2023-04-28,HEROMOTOCO.NS,short,2339.0694984917022,-47,2368.8461846465593,2274.785409403546,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-05,2368.8461846465593,-1399.5042492782832,Stop-Loss
2023-05-05,HEROMOTOCO.NS,long,2354.8489646271405,43,2290.058618307553,2392.505338350346,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-08,2392.505338350346,1619.2240700978336,Take-Profit
2023-05-09,HEROMOTOCO.NS,short,2401.6767022654017,-42,2435.6539748905443,2332.3329488438576,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-15,2435.6539748905443,-1427.0454502559905,Stop-Loss
2023-05-16,HEROMOTOCO.NS,short,2506.099498486417,-39,2546.9493642132175,2434.19821099696,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-17,2546.9493642132175,-1593.1447633452212,Stop-Loss
2023-05-17,HEROMOTOCO.NS,long,2495.8891249590274,40,2445.9489824719503,2556.0873104801076,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-18,2556.0873104801076,2407.927420843207,Take-Profit
2023-05-18,HEROMOTOCO.NS,short,2547.961309737258,-40,2574.7814629441227,2464.3367115172114,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-29,2574.7814629441227,-1072.8061282745875,Stop-Loss
2023-05-30,HEROMOTOCO.NS,long,2577.4783533524183,44,2535.3720273330396,2633.7281660299054,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-02,2633.7281660299054,2474.9917578094355,Take-Profit
2023-06-05,HEROMOTOCO.NS,long,2701.1145982667613,38,2635.4986846691695,2750.9180135400657,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-07,2750.9180135400657,1892.5297803855665,Take-Profit
2023-06-07,HEROMOTOCO.NS,long,2708.447286549918,38,2647.365272611268,2761.4102680287256,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-08,2761.4102680287256,2012.5932961946928,Take-Profit
2023-06-09,HEROMOTOCO.NS,short,2773.375047170128,-38,2800.7705094034723,2686.818275873495,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-12,2686.818275873495,3289.15730927204,Take-Profit
2023-06-13,HEROMOTOCO.NS,long,2707.5657372903115,36,2667.424871722952,2790.1087159579392,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-15,2667.424871722952,-1445.071160424941,Stop-Loss
2023-06-16,HEROMOTOCO.NS,short,2638.87861158163,-33,2696.350781653739,2562.3579747220983,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-20,2562.3579747220983,2525.1810163645496,Take-Profit
2023-06-20,HEROMOTOCO.NS,short,2575.760972664217,-33,2638.9089316250065,2508.0240937708245,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-22,2638.9089316250065,-2083.8826457060472,Stop-Loss
2023-06-22,HEROMOTOCO.NS,long,2626.812084617209,34,2566.354875698751,2693.4522881308317,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-30,2693.4522881308317,2265.7669194631653,Take-Profit
2023-06-30,HEROMOTOCO.NS,short,2636.0478551111073,-34,2680.9205688156144,2551.960237672931,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-03,2680.9205688156144,-1525.6722659532406,Stop-Loss
2023-07-03,HEROMOTOCO.NS,short,2668.581417687446,-31,2761.9790480107645,2620.0711488762727,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-04,2761.9790480107645,-2895.326540022873,Stop-Loss
2023-07-04,HEROMOTOCO.NS,long,2739.217621533596,32,2631.4001756089056,2769.594280828751,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-05,2769.594280828751,972.0530974449648,Take-Profit
2023-07-05,HEROMOTOCO.NS,long,2831.0168060620344,26,2739.6411508072933,2909.1016752256924,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-06,2909.1016752256924,2030.2065982551057,Take-Profit
