entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,HINDALCO.NS,short,478.21797871051837,-108,458.95251731145146,499.32890473381997,2023-01-16,458.95251731145146,2080.669831099226,Stop-Loss
2023-01-16,HINDALCO.NS,long,481.4541945692159,111,462.1098957721747,501.6404087458244,2023-01-27,462.1098957721747,-2147.2171664715706,Stop-Loss
2023-01-27,HINDALCO.NS,short,483.9548348126183,-123,464.366890279008,500.00403805897895,2023-01-30,464.366890279008,2409.3171776340682,Stop-Loss
2023-01-30,HINDALCO.NS,long,469.7353305166409,125,454.76741939654056,489.6924520350814,2023-02-01,454.76741939654056,-1870.9888900125407,Stop-Loss
2023-02-02,HINDALCO.NS,long,457.9674051409202,137,445.1500154932859,477.00222950504593,2023-02-03,445.1500154932859,-1755.982381725905,Stop-Loss
2023-02-03,HINDALCO.NS,short,458.70288969566803,-142,443.17765005126364,474.02594047526827,2023-02-06,443.17765005126364,2204.584029505424,Stop-Loss
2023-02-07,HINDALCO.NS,long,431.4896514466917,148,426.00052480819636,455.62675183451427,2023-02-08,426.00052480819636,-812.3907424973117,Stop-Loss
2023-02-08,HINDALCO.NS,short,423.6443802351804,-144,408.22279211807876,438.6003844350096,2023-02-09,408.22279211807876,2220.7086888626354,Stop-Loss
2023-02-09,HINDALCO.NS,long,428.5476715406466,141,414.80420182187055,445.72819680586537,2023-02-24,414.80420182187055,-1937.8292303474236,Stop-Loss
2023-02-24,HINDALCO.NS,short,429.52829708900884,-165,416.61410755236153,443.200558419768,2023-02-27,443.200558419768,-2255.923119575263,Take-Profit
2023-02-27,HINDALCO.NS,long,406.9731708387117,150,394.7423417244142,423.8529641265623,2023-02-28,394.7423417244142,-1834.6243671446302,Stop-Loss
2023-02-28,HINDALCO.NS,short,405.5021914632429,-156,391.79155444835635,419.89304987940505,2023-03-01,391.79155444835635,2138.8593743223055,Stop-Loss
2023-03-01,HINDALCO.NS,long,394.22462075969673,158,379.5912665615592,407.32882191206164,2023-03-02,407.32882191206164,2070.4637820736552,Take-Profit
2023-03-08,HINDALCO.NS,short,402.02086345139713,-150,393.9962748602248,423.1316148022524,2023-03-09,393.9962748602248,1203.688288675852,Stop-Loss
2023-03-13,HINDALCO.NS,short,401.0891998651385,-164,386.38532414814324,413.0289387334652,2023-03-14,386.38532414814324,2411.43561758722,Stop-Loss
2023-03-15,HINDALCO.NS,short,400.0595448464693,-174,384.1478537851014,409.2621003080159,2023-03-16,384.1478537851014,2768.6342446780127,Stop-Loss
2023-03-16,HINDALCO.NS,short,392.85168972014515,-175,387.6003034265035,412.55306019369846,2023-03-17,387.6003034265035,918.9926013872878,Stop-Loss
2023-03-20,HINDALCO.NS,long,386.13420685467133,146,376.2259334368215,406.095392380462,2023-04-11,406.095392380462,2914.3330867654354,Take-Profit
2023-04-11,HINDALCO.NS,long,404.91379149036663,167,392.29206079824183,418.42497769218795,2023-04-17,418.42497769218795,2256.36809570416,Take-Profit
2023-04-17,HINDALCO.NS,long,414.18101726123433,173,403.044543324819,428.34316627328815,2023-04-19,428.34316627328815,2450.0517790853105,Take-Profit
2023-04-19,HINDALCO.NS,short,425.9979669792245,-175,412.50085795764755,437.4726719744387,2023-04-20,412.50085795764755,2361.9940787759633,Stop-Loss
2023-04-20,HINDALCO.NS,long,423.54628712456474,179,414.2276036962416,438.60269702480286,2023-04-21,414.2276036962416,-1668.0443336698422,Stop-Loss
2023-04-21,HINDALCO.NS,long,421.6830601250834,184,411.35121852285744,435.1155912859297,2023-04-24,411.35121852285744,-1901.0588548095748,Stop-Loss
2023-04-24,HINDALCO.NS,long,410.895793382151,185,404.06123387784373,427.67409213422917,2023-04-28,427.67409213422917,3103.9852691344618,Take-Profit
2023-04-28,HINDALCO.NS,long,425.11535214002674,192,412.7066751765,435.4821438727396,2023-05-02,435.4821438727396,1990.4240126808654,Take-Profit
2023-05-02,HINDALCO.NS,short,430.5089901167917,-193,417.9287902539778,440.64677534821186,2023-05-03,417.9287902539778,2427.9785735230853,Stop-Loss
2023-05-03,HINDALCO.NS,long,432.47030390485634,184,427.3490941720951,451.08281991246696,2023-05-05,427.3490941720951,-942.3025908280715,Stop-Loss
2023-05-05,HINDALCO.NS,long,434.43162059619226,192,427.09357670068147,449.9361238066435,2023-05-10,427.09357670068147,-1408.9044279380723,Stop-Loss
2023-05-10,HINDALCO.NS,long,432.47028380193143,178,421.32701058917775,445.84064807185155,2023-05-11,421.32701058917775,-1983.5026318701557,Stop-Loss
2023-05-12,HINDALCO.NS,short,410.8958285580895,-170,401.7055121875085,427.38270168618664,2023-05-15,401.7055121875085,1562.3537829987704,Stop-Loss
2023-05-16,HINDALCO.NS,long,405.6002546543283,161,391.1110870790097,418.2834329669194,2023-05-25,391.1110870790097,-2332.7559796262976,Stop-Loss
2023-05-25,HINDALCO.NS,short,396.6762558672262,-193,389.2982359000035,412.005255372261,2023-05-26,389.2982359000035,1423.9578536739837,Stop-Loss
2023-05-26,HINDALCO.NS,long,397.26466421588174,199,387.0045176956203,408.9998561258917,2023-05-29,408.9998561258917,2335.3031900919846,Take-Profit
2023-05-29,HINDALCO.NS,long,408.93450879671565,188,395.55983669379015,418.8730375658319,2023-06-14,418.8730375658319,1868.443408593857,Take-Profit
2023-06-14,HINDALCO.NS,long,418.74106137562234,194,403.593850326851,426.12344207721947,2023-06-23,403.593850326851,-2938.55894346164,Stop-Loss
2023-06-26,HINDALCO.NS,short,402.0698798798136,-208,391.60307476837505,412.5933510738072,2023-06-27,391.60307476837505,2177.0954631792147,Stop-Loss
2023-06-27,HINDALCO.NS,short,407.9538309769599,-204,397.50159504566926,418.9155063290816,2023-06-28,397.50159504566926,2132.256129983294,Stop-Loss
2023-06-28,HINDALCO.NS,long,411.63129314275415,207,400.61013540456906,421.7497795842725,2023-07-10,421.7497795842725,2094.526693394303,Take-Profit
2023-07-10,HINDALCO.NS,long,414.8184474102998,231,406.4034864456449,425.3519615132287,2023-07-13,425.3519615132287,2433.2417577765636,Take-Profit
2023-07-13,HINDALCO.NS,short,421.87920975413857,-241,408.86513128880114,426.989364743187,2023-07-14,408.86513128880114,3136.392910146322,Stop-Loss
2023-07-17,HINDALCO.NS,long,439.13877439599577,203,429.04654987613134,450.6500815290905,2023-07-21,429.04654987613134,-2048.7215775324794,Stop-Loss
2023-07-21,HINDALCO.NS,short,432.9115950880257,-219,424.4434062982994,444.43129322987164,2023-07-24,424.4434062982994,1854.5333449500592,Stop-Loss
2023-07-25,HINDALCO.NS,short,427.7141138427747,-224,416.2028368580612,435.74026252584036,2023-07-26,416.2028368580612,2578.526044575825,Stop-Loss
2023-07-28,HINDALCO.NS,short,441.7865536373979,-194,433.01830661495325,455.5368196143071,2023-07-31,433.01830661495325,1701.0399223542631,Stop-Loss
2023-07-31,HINDALCO.NS,long,444.28722231389,200,433.3715912052731,455.29470619244836,2023-08-01,455.29470619244836,2201.4967757116665,Take-Profit
2023-08-01,HINDALCO.NS,short,456.0060910875719,-188,443.6918090925561,466.93348387268554,2023-08-02,443.6918090925561,2315.0850150629685,Stop-Loss
2023-08-04,HINDALCO.NS,long,455.02543549986325,193,434.8078882767858,457.49836698186374,2023-08-07,457.49836698186374,477.2757760260946,Take-Profit
2023-08-07,HINDALCO.NS,short,450.31826532951675,-196,438.57985798358123,460.9354538409021,2023-08-08,438.57985798358123,2300.7278398033604,Stop-Loss
2023-08-09,HINDALCO.NS,long,445.9543789861512,187,435.9049875094018,459.35341875374036,2023-08-10,459.35341875374036,2505.6204365391727,Take-Profit
2023-08-10,HINDALCO.NS,short,458.94810195826005,-170,448.76955629145135,474.5788647233773,2023-08-11,448.76955629145135,1730.3527633574795,Stop-Loss
2023-08-11,HINDALCO.NS,long,457.96738450009315,174,449.0593766338046,474.19243760023966,2023-08-14,449.0593766338046,-1549.993368734204,Stop-Loss
2023-08-14,HINDALCO.NS,long,452.6664445540317,176,442.83650614995867,467.7305955598207,2023-08-16,442.83650614995867,-1730.0691591168588,Stop-Loss
2023-08-16,HINDALCO.NS,long,441.21648745701526,175,434.2776792242497,459.2202354809483,2023-08-18,434.2776792242497,-1214.2914407339717,Stop-Loss
2023-08-18,HINDALCO.NS,long,441.7100297496045,183,431.54062667131365,455.4995725599933,2023-08-23,455.4995725599933,2523.486334301152,Take-Profit
2023-08-23,HINDALCO.NS,short,448.8168939763332,-179,434.0728575282492,458.4569032598605,2023-08-24,434.0728575282492,2639.182524207034,Stop-Loss
2023-08-25,HINDALCO.NS,long,447.13885782877605,174,439.814653469487,464.9655226689393,2023-08-28,439.814653469487,-1274.411558516298,Stop-Loss
2023-08-28,HINDALCO.NS,short,444.7205546622821,-177,433.5639329949,458.32932713310214,2023-08-29,433.5639329949,1974.7220351266362,Stop-Loss
2023-08-31,HINDALCO.NS,long,456.2692102958748,178,440.3326438524937,464.85058293625843,2023-09-01,464.85058293625843,1527.4843299882843,Take-Profit
2023-09-04,HINDALCO.NS,long,471.4205604053775,167,455.91293461355707,482.078764183877,2023-09-05,482.078764183877,1779.9200310094186,Take-Profit
2023-09-05,HINDALCO.NS,short,479.7118957342252,-157,468.4108220769627,496.2769646070185,2023-09-06,468.4108220769627,1774.2685641902158,Stop-Loss
2023-09-07,HINDALCO.NS,short,469.397101512205,-161,460.336677721295,487.4657895682212,2023-09-08,460.336677721295,1458.7282303365043,Stop-Loss
2023-09-12,HINDALCO.NS,short,483.6601374699519,-167,467.3333509156229,493.568023974482,2023-09-13,467.3333509156229,2726.5733545729486,Stop-Loss
2023-09-13,HINDALCO.NS,long,472.3089191030308,168,460.40117616129646,486.458577862412,2023-09-14,486.458577862412,2377.142671576046,Take-Profit
