entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,HINDUNILVR.NS,short,2476.8521655707195,-44,2526.7414728155895,2426.311825308381,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-13,2526.7414728155895,-2195.12951877428,Stop-Loss
2023-01-13,HINDUNILVR.NS,long,2480.7786904841932,45,2438.8065739074577,2536.406827237973,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-17,2536.406827237973,2503.2661539200967,Take-Profit
2023-01-18,HINDUNILVR.NS,long,2555.2920387087684,39,2506.831636059736,2618.9003478838936,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-19,2506.831636059736,-1889.9557033122637,Stop-Loss
2023-01-19,HINDUNILVR.NS,short,2557.30365495725,-40,2619.96373202531,2509.73569453917,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-20,2509.73569453917,1902.7184167232008,Take-Profit
2023-01-20,HINDUNILVR.NS,long,2442.27678434588,40,2490.414229469067,2601.011903025619,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-23,2490.414229469067,1925.4978049274723,Stop-Loss
2023-01-24,HINDUNILVR.NS,long,2493.9956994448185,33,2429.0454607698935,2563.612481343267,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-30,2429.0454607698935,-2143.357876272525,Stop-Loss
2023-01-30,HINDUNILVR.NS,long,2499.742324991905,35,2447.8514017589896,2573.734996222389,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-31,2447.8514017589896,-1816.1823131520464,Stop-Loss
2023-01-31,HINDUNILVR.NS,long,2459.5166103740175,35,2405.9927482387634,2531.216700264982,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-03,2531.216700264982,2509.5031461837607,Take-Profit
2023-02-06,HINDUNILVR.NS,short,2519.8554760862344,-35,2590.476766431908,2465.3598355126646,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-09,2465.3598355126646,1907.347420074941,Take-Profit
2023-02-09,HINDUNILVR.NS,long,2477.7141313036195,37,2423.478969528391,2540.6413218788116,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-16,2423.478969528391,-2006.7009856834484,Stop-Loss
2023-02-17,HINDUNILVR.NS,long,2418.3332988789816,43,2377.098774531131,2478.0054262762005,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-23,2377.098774531131,-1773.084546957583,Stop-Loss
2023-02-23,HINDUNILVR.NS,short,2386.727389998257,-48,2427.546883064192,2336.8823948467025,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-28,2336.8823948467025,2392.5597672746153,Take-Profit
2023-02-28,HINDUNILVR.NS,short,2365.417086218012,-53,2399.4772373554915,2316.4275669895533,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-15,2316.4275669895533,2596.444519108322,Take-Profit
2023-03-15,HINDUNILVR.NS,long,2348.321078141189,65,2310.292031237196,2377.908476579572,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-16,2310.292031237196,-2471.8880487595334,Stop-Loss
2023-03-16,HINDUNILVR.NS,short,2322.509607031112,-63,2334.150936169743,2264.8628793778425,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-17,2334.150936169743,-733.4037357337616,Stop-Loss
2023-03-17,HINDUNILVR.NS,long,2367.2368064297657,53,2319.963863131037,2402.7801160857007,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-20,2402.7801160857007,1883.7954117645545,Take-Profit
2023-03-21,HINDUNILVR.NS,short,2408.75539293394,-46,2446.168320853783,2350.3789250595396,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-31,2446.168320853783,-1720.9946843127682,Stop-Loss
2023-04-03,HINDUNILVR.NS,long,2461.4319331805013,45,2410.410457707001,2507.895919671915,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,2410.410457707001,-2295.9663963075104,Stop-Loss
2023-04-10,HINDUNILVR.NS,long,2456.8829615069335,44,2414.2655176810013,2513.7064419201233,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-12,2414.2655176810013,-1875.1675283410186,Stop-Loss
2023-04-12,HINDUNILVR.NS,short,2448.023549176002,-45,2482.0764087458283,2384.182952401395,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-20,2384.182952401395,2872.8268548572987,Take-Profit
2023-04-20,HINDUNILVR.NS,long,2411.4373993392946,50,2387.1561521013673,2474.651823239844,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-21,2387.1561521013673,-1214.0623618963673,Stop-Loss
2023-04-21,HINDUNILVR.NS,short,2386.7271816547222,-49,2425.4756624426454,2336.4037879670977,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,2336.4037879670977,2465.8462906936006,Take-Profit
2023-04-28,HINDUNILVR.NS,long,2333.141097158258,51,2328.230927856497,2413.210813639254,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-05,2413.210813639254,4083.5555405307855,Take-Profit
2023-05-08,HINDUNILVR.NS,short,2399.896362947055,-53,2430.2030280458685,2348.3138499753004,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-11,2430.2030280458685,-1606.2532502371146,Stop-Loss
2023-05-11,HINDUNILVR.NS,short,2429.7782362640614,-57,2449.1454011217616,2372.1097613949432,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-12,2449.1454011217616,-1103.9283968889067,Stop-Loss
2023-05-12,HINDUNILVR.NS,short,2484.418248251399,-47,2523.0960211875135,2429.2720368541486,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-15,2523.0960211875135,-1817.8553279973912,Stop-Loss
2023-05-15,HINDUNILVR.NS,long,2526.5118874858517,46,2472.052074840487,2566.608301254351,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-25,2472.052074840487,-2505.151381686779,Stop-Loss
2023-05-25,HINDUNILVR.NS,short,2499.74239110327,-50,2541.6163889655645,2454.972744400081,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-26,2541.6163889655645,-2093.6998931147173,Stop-Loss
2023-05-26,HINDUNILVR.NS,long,2493.7564454696626,51,2451.0170057641208,2536.2163393197143,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-29,2536.2163393197143,2165.454586352636,Take-Profit
2023-05-29,HINDUNILVR.NS,short,2557.2078292285046,-46,2580.654444626549,2486.502163023976,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-01,2580.654444626549,-1078.5443083100372,Stop-Loss
2023-06-02,HINDUNILVR.NS,long,2595.518141687837,50,2546.133541466389,2634.3234095552316,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-09,2546.133541466389,-2469.230011072409,Stop-Loss
2023-06-13,HINDUNILVR.NS,short,2518.5144963410708,-49,2569.8133336107653,2481.067817555438,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-14,2569.8133336107653,-2513.6430262150334,Stop-Loss
2023-06-16,HINDUNILVR.NS,long,2576.07572712798,50,2538.371587037751,2626.3478123350824,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-23,2538.371587037751,-1885.2070045114488,Stop-Loss
2023-06-26,HINDUNILVR.NS,short,2551.2016371649634,-55,2584.721410234366,2505.2707857031373,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-28,2584.721410234366,-1843.587518817144,Stop-Loss
2023-06-28,HINDUNILVR.NS,long,2561.630186457027,58,2527.6021826891847,2603.3964712581705,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-03,2603.3964712581705,2422.4445184663336,Take-Profit
2023-07-03,HINDUNILVR.NS,long,2594.508045057347,59,2554.4010355059736,2628.0453641170348,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-05,2628.0453641170348,1978.7018245215854,Take-Profit
2023-07-06,HINDUNILVR.NS,long,2664.8984980381774,53,2625.697801420634,2708.042254355822,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-07,2625.697801420634,-2077.6369207298108,Stop-Loss
2023-07-07,HINDUNILVR.NS,long,2658.3331128901764,55,2627.8123394471104,2708.0387069090607,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-10,2627.8123394471104,-1678.6425393686295,Stop-Loss
2023-07-10,HINDUNILVR.NS,short,2616.6196443855306,-48,2644.325620922157,2553.0939149423316,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-12,2553.0939149423316,3049.235013273552,Take-Profit
2023-07-12,HINDUNILVR.NS,short,2611.840316089044,-46,2632.644966215084,2538.0271706975964,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-21,2538.0271706975964,3395.4046880065853,Take-Profit
2023-07-21,HINDUNILVR.NS,long,2558.7818245367703,51,2573.492941783902,2659.1403517100057,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-24,2573.492941783902,750.266979603723,Stop-Loss
2023-07-24,HINDUNILVR.NS,long,2514.365340915972,39,2466.6354248703574,2578.0049803811903,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-27,2466.6354248703574,-1861.4667257789683,Stop-Loss
2023-07-27,HINDUNILVR.NS,short,2472.8454090240016,-42,2538.9813483742455,2434.906135110381,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-11,2434.906135110381,1593.4495043720644,Take-Profit
2023-08-14,HINDUNILVR.NS,short,2415.6831227312014,-53,2451.171666254939,2368.3650244204982,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-16,2451.171666254939,-1880.8928067580855,Stop-Loss
2023-08-16,HINDUNILVR.NS,short,2446.7745307949444,-51,2482.960507348645,2396.499434212223,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-21,2482.960507348645,-1845.4848042387298,Stop-Loss
2023-08-23,HINDUNILVR.NS,long,2486.3635410856305,55,2443.5314056190623,2522.744746935,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-29,2443.5314056190623,-2355.767450661249,Stop-Loss
2023-08-29,HINDUNILVR.NS,short,2470.817504416409,-60,2498.808802800032,2426.286423740582,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-31,2426.286423740582,2671.864840549624,Take-Profit
2023-09-06,HINDUNILVR.NS,short,2426.9321238340804,-66,2449.0772386421195,2382.985475430299,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-11,2449.0772386421195,-1461.5775773305822,Stop-Loss
2023-09-13,HINDUNILVR.NS,short,2408.151480461981,-64,2442.334749857747,2373.5019090438377,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-20,2373.5019090438377,2217.572570761171,Take-Profit
2023-09-20,HINDUNILVR.NS,short,2365.3281484401355,-64,2432.088881153015,2364.181215103272,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-21,2364.181215103272,73.40373355927295,Take-Profit
2023-09-25,HINDUNILVR.NS,long,2396.9993832043424,67,2369.118653730297,2434.173419375229,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-28,2369.118653730297,-1868.0088747610444,Stop-Loss
2023-09-29,HINDUNILVR.NS,short,2380.681166134431,-64,2404.9398357082964,2336.62001397748,Mock forecast (downtrend) due to missing Gemini API key.,2023-10-03,2404.9398357082964,-1552.5548527273932,Stop-Loss
2023-10-05,HINDUNILVR.NS,long,2431.3253284834987,61,2390.565370264834,2462.8048481104292,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-11,2462.8048481104292,1920.2506972427664,Take-Profit
