entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,KOTAKBANK.NS,long,1801.4596286483213,86,1774.4015268375872,1825.5573229405086,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-13,1774.4015268375872,-2326.996755723134,Stop-Loss
2023-01-13,KOTAKBANK.NS,short,1774.043956899163,-85,1796.0819978298014,1744.6598752894317,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-17,1796.0819978298014,-1873.233479104257,Stop-Loss
2023-01-17,KOTAKBANK.NS,short,1774.542276568347,-89,1800.500385036875,1751.0975904586458,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-18,1800.500385036875,-2310.2716536989965,Stop-Loss
2023-01-20,KOTAKBANK.NS,short,1773.4458161402567,-84,1784.2642398950734,1732.037776168548,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-23,1784.2642398950734,-908.7475954045985,Stop-Loss
2023-01-23,KOTAKBANK.NS,short,1784.5117208030395,-86,1779.20771226214,1728.544420759855,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-24,1779.20771226214,456.14473451735967,Stop-Loss
2023-01-24,KOTAKBANK.NS,long,1787.2034861144484,81,1755.2524751727906,1808.9854286107584,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-25,1755.2524751727906,-2588.031886274285,Stop-Loss
2023-01-25,KOTAKBANK.NS,long,1751.612811717745,81,1731.6416494577506,1785.801531191749,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-27,1731.6416494577506,-1617.6641430595419,Stop-Loss
2023-01-27,KOTAKBANK.NS,short,1746.7279584294317,-83,1766.9900529127647,1714.3614480043348,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-30,1714.3614480043348,2686.4203652830493,Take-Profit
2023-01-30,KOTAKBANK.NS,long,1707.8475692721918,78,1683.6843474072132,1740.0651165429865,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,1740.0651165429865,2512.9686871219897,Take-Profit
2023-02-01,KOTAKBANK.NS,long,1739.6497147961088,78,1701.514180076612,1757.9305561218089,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-02,1757.9305561218089,1425.9056234046052,Take-Profit
2023-02-02,KOTAKBANK.NS,short,1714.7263962058323,-77,1763.849862876914,1706.6848833516149,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,1763.849862876914,-3782.506933673282,Stop-Loss
2023-02-03,KOTAKBANK.NS,short,1765.1712204405947,-75,1781.4165688297924,1722.9241484613183,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-15,1781.4165688297924,-1218.4011291898287,Stop-Loss
2023-02-15,KOTAKBANK.NS,long,1763.0277406948849,75,1739.7921593830847,1798.4284473199496,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-20,1739.7921593830847,-1742.668598385012,Stop-Loss
2023-02-21,KOTAKBANK.NS,short,1739.6496902241727,-74,1757.4299967954164,1698.0312445071534,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-22,1698.0312445071534,3079.764983059429,Take-Profit
2023-02-22,KOTAKBANK.NS,short,1718.6640926487928,-76,1749.5983004348934,1691.9573116597253,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-23,1691.9573116597253,2029.7153551691308,Take-Profit
2023-02-23,KOTAKBANK.NS,long,1702.1650049651976,74,1670.0324224146989,1729.0739576137348,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-28,1729.0739576137348,1991.2624959917566,Take-Profit
2023-03-01,KOTAKBANK.NS,long,1723.9478874189786,72,1698.0273600200765,1758.508848749273,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-03,1758.508848749273,2488.3892157812043,Take-Profit
2023-03-03,KOTAKBANK.NS,short,1726.689602593161,-72,1742.6304661414881,1681.4753778269742,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-06,1742.6304661414881,-1147.7421754795523,Stop-Loss
2023-03-08,KOTAKBANK.NS,short,1730.6774278222956,-69,1772.993858692494,1709.1479996079247,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-09,1709.1479996079247,1485.5305467915928,Take-Profit
2023-03-10,KOTAKBANK.NS,short,1701.7661861867816,-70,1738.1477277365443,1675.8212995413785,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-13,1675.8212995413785,1816.1420651782191,Take-Profit
2023-03-13,KOTAKBANK.NS,long,1693.790840956438,71,1667.8614398039185,1729.0610490114418,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-14,1667.8614398039185,-1840.9874818288777,Stop-Loss
2023-03-14,KOTAKBANK.NS,short,1667.8704029131275,-71,1695.0216493327655,1633.7627195094378,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-17,1695.0216493327655,-1927.7384957943,Stop-Loss
2023-03-17,KOTAKBANK.NS,short,1674.4503265111052,-72,1684.6161787028175,1623.5605084743684,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-20,1684.6161787028175,-731.9413578032818,Stop-Loss
2023-03-22,KOTAKBANK.NS,short,1704.7571025248146,-68,1729.0285006466813,1665.0676306481748,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-31,1729.0285006466813,-1650.4550722869353,Stop-Loss
2023-04-03,KOTAKBANK.NS,long,1728.6834557346338,71,1700.9426355186117,1762.9961230194551,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-11,1762.9961230194551,2436.1993772223177,Take-Profit
2023-04-13,KOTAKBANK.NS,short,1832.36452617783,-49,1876.4928093167287,1787.6002451297784,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-17,1876.4928093167287,-2162.2858738060377,Stop-Loss
2023-04-18,KOTAKBANK.NS,long,1895.1214927490153,49,1851.1926548670551,1940.2019077684056,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-04,1940.2019077684056,2208.940335950126,Take-Profit
2023-05-05,KOTAKBANK.NS,long,1946.164550080176,58,1909.0837128133337,1985.0213581759717,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-17,1909.0837128133337,-2150.688561476854,Stop-Loss
2023-05-19,KOTAKBANK.NS,short,1924.0824727931233,-58,1953.749993214426,1878.4780770812863,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-29,1953.749993214426,-1720.7161844355564,Stop-Loss
2023-05-29,KOTAKBANK.NS,long,1957.080973958733,63,1909.116591171115,1979.0459204307008,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-31,1979.0459204307008,1383.79162773397,Take-Profit
2023-05-31,KOTAKBANK.NS,long,1978.8639463814452,64,1939.1394580180627,2007.9866227076873,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-01,1939.1394580180627,-2542.367255256482,Stop-Loss
2023-06-02,KOTAKBANK.NS,short,1938.9867282340329,-44,1966.5234648241835,1867.6110882422345,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-09,1867.6110882422345,3140.5281596391287,Take-Profit
2023-06-09,KOTAKBANK.NS,long,1856.291036361303,44,1837.9611786149499,1937.722009242567,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-15,1837.9611786149499,-806.5137408395376,Stop-Loss
2023-06-15,KOTAKBANK.NS,long,1862.2227442557137,48,1819.8838179945076,1910.998252439615,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-19,1819.8838179945076,-2032.2684605378927,Stop-Loss
2023-06-21,KOTAKBANK.NS,long,1841.3868804004373,48,1799.2735969924872,1890.4432687886629,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-13,1890.4432687886629,2354.7066426348247,Take-Profit
2023-07-13,KOTAKBANK.NS,short,1883.2081583214845,-63,1902.1686318120137,1832.5723987949193,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-19,1902.1686318120137,-1194.509829903342,Stop-Loss
2023-07-19,KOTAKBANK.NS,long,1888.9905246969392,65,1856.3189997320871,1923.3638109040921,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-20,1923.3638109040921,2234.2636034649377,Take-Profit
2023-07-21,KOTAKBANK.NS,short,1945.9153617909526,-57,1984.0661038225094,1906.6788700335292,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-24,1906.6788700335292,2236.4800301731357,Take-Profit
2023-07-24,KOTAKBANK.NS,short,1944.0212505610505,-57,1996.774473734708,1920.6721209578895,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-25,1920.6721209578895,1330.9003873801723,Take-Profit
2023-07-28,KOTAKBANK.NS,short,1863.8676878497101,-49,1906.6392625189028,1816.4926613680254,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-02,1816.4926613680254,2321.37629760255,Take-Profit
2023-08-02,KOTAKBANK.NS,long,1834.9068328749383,52,1808.5596256616527,1892.0186029589422,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-03,1808.5596256616527,-1370.0547750908527,Stop-Loss
2023-08-03,KOTAKBANK.NS,long,1814.519423816612,53,1782.8077866525473,1865.175880817437,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-11,1782.8077866525473,-1680.7167696954327,Stop-Loss
2023-08-14,KOTAKBANK.NS,short,1784.9833741878676,-61,1818.245672548739,1746.337434974077,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-18,1746.337434974077,2357.4022920412262,Take-Profit
2023-08-23,KOTAKBANK.NS,long,1765.8264801755422,69,1732.0534317149868,1795.2588765284552,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-08,1795.2588765284552,2030.8353483509952,Take-Profit
2023-09-11,KOTAKBANK.NS,short,1795.9586550375661,-82,1812.0597188800639,1758.659307118248,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-12,1812.0597188800639,-1320.2872350848156,Stop-Loss
2023-09-12,KOTAKBANK.NS,long,1814.9160815105122,81,1780.7893403782375,1834.576411722246,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-20,1780.7893403782375,-2764.2660317142486,Stop-Loss
2023-09-20,KOTAKBANK.NS,short,1782.9379859142848,-88,1815.6450546018339,1765.8688090334924,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-21,1765.8688090334924,1502.0875655097298,Take-Profit
2023-09-21,KOTAKBANK.NS,short,1779.9946902854222,-90,1806.2799389621878,1757.6356184931246,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-22,1757.6356184931246,2012.3164613067775,Take-Profit
2023-09-25,KOTAKBANK.NS,short,1760.0394546240013,-84,1774.7374776297343,1722.865125855667,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-26,1774.7374776297343,-1234.6339324815654,Stop-Loss
2023-09-26,KOTAKBANK.NS,short,1772.1123402612714,-77,1804.7512137575268,1747.9169607581935,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-27,1747.9169607581935,1863.0442217369985,Take-Profit
2023-09-29,KOTAKBANK.NS,long,1740.0843921739404,75,1704.4358735065755,1762.4722207412326,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-10,1762.4722207412326,1679.0871425469163,Take-Profit
2023-10-11,KOTAKBANK.NS,long,1756.0984803934082,69,1725.1658282323804,1788.1457576693263,Mock forecast (uptrend) due to missing Gemini API key.,2023-10-23,1725.1658282323804,-2134.3529991109194,Stop-Loss
