entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-12,LTIM.NS,long,4098.523388091768,19,3971.9358732861115,4201.005098639352,2023-01-23,3971.9358732861115,-2405.162781307467,Stop-Loss
2023-01-23,LTIM.NS,long,3987.7043684704795,22,4025.816394474516,4224.794612054812,2023-01-24,4224.794612054812,5215.98535885532,Take-Profit
2023-01-30,LTIM.NS,short,4237.228120057331,-19,4136.653905439972,4371.437370871705,2023-01-31,4136.653905439972,1910.910077729818,Stop-Loss
2023-01-31,LTIM.NS,long,4304.063020137996,19,4184.902891804546,4419.146404677272,2023-02-02,4419.146404677272,2186.584306246232,Take-Profit
2023-02-02,LTIM.NS,long,4252.492107037764,19,4149.351689951936,4374.4348886578355,2023-02-03,4374.4348886578355,2316.9128507813566,Take-Profit
2023-02-03,LTIM.NS,short,4489.547449998948,-16,4319.6171223415995,4598.158941044534,2023-02-06,4319.6171223415995,2718.885242517572,Stop-Loss
2023-02-06,LTIM.NS,short,4344.411331061936,-16,4237.9388020694605,4513.91851130322,2023-02-07,4237.9388020694605,1703.5604638796067,Stop-Loss
2023-02-08,LTIM.NS,short,4479.871898543721,-16,4327.45179682118,4602.3871875717605,2023-02-09,4327.45179682118,2438.721627560648,Stop-Loss
2023-02-10,LTIM.NS,short,4532.120945460518,-16,4423.3222278278745,4703.486378521167,2023-02-13,4423.3222278278745,1740.7794821222924,Stop-Loss
2023-02-14,LTIM.NS,long,4479.871873624072,16,4355.886538588881,4624.866288391909,2023-02-16,4624.866288391909,2319.9106362853927,Take-Profit
2023-02-16,LTIM.NS,short,4618.332264438067,-16,4472.4298160224525,4744.572745303397,2023-02-17,4472.4298160224525,2334.4391746498295,Stop-Loss
2023-02-17,LTIM.NS,short,4702.414109311566,-14,4652.658876714682,4967.430579745007,2023-02-20,4652.658876714682,696.5732563563706,Stop-Loss
2023-02-21,LTIM.NS,long,4752.0505047213865,14,4596.977717895817,4903.614670409745,2023-02-27,4596.977717895817,-2171.0190155579785,Stop-Loss
2023-02-27,LTIM.NS,long,4647.794486142204,15,4574.931014717447,4857.829773345487,2023-02-28,4574.931014717447,-1092.9520713713464,Stop-Loss
2023-03-01,LTIM.NS,short,4568.9366920459515,-16,4451.757342495841,4725.176570682628,2023-03-02,4451.757342495841,1874.8695928017696,Stop-Loss
2023-03-03,LTIM.NS,long,4575.75872928842,17,4441.406823455492,4701.724821330178,2023-03-14,4441.406823455492,-2283.982399159783,Stop-Loss
2023-03-14,LTIM.NS,long,4441.168131811502,18,4360.958975869103,4606.813487903696,2023-03-16,4360.958975869103,-1443.7648069631796,Stop-Loss
2023-03-16,LTIM.NS,long,4431.492344052525,19,4342.584623108345,4577.8066027826235,2023-03-17,4577.8066027826235,2779.9709158718642,Take-Profit
2023-03-17,LTIM.NS,short,4489.547615241975,-19,4307.478815830571,4535.998948684239,2023-03-20,4307.478815830571,3459.3071888166787,Stop-Loss
2023-03-21,LTIM.NS,short,4541.796638453028,-18,4422.741619863521,4664.977807629889,2023-03-22,4422.741619863521,2142.9903346111296,Stop-Loss
2023-03-22,LTIM.NS,long,4562.068013657779,19,4421.642095701054,4657.075187502761,2023-03-23,4421.642095701054,-2668.0924411777796,Stop-Loss
2023-03-24,LTIM.NS,short,4497.287979651456,-20,4357.030423523509,4580.220014729071,2023-03-27,4357.030423523509,2805.1511225589456,Stop-Loss
2023-03-27,LTIM.NS,short,4470.195738881978,-20,4359.222533093795,4576.280925927023,2023-03-28,4359.222533093795,2219.464115763658,Stop-Loss
2023-03-28,LTIM.NS,long,4420.801742723492,21,4319.261635959911,4530.78852184512,2023-03-31,4530.78852184512,2309.722361554196,Take-Profit
2023-03-31,LTIM.NS,short,4489.548102472331,-21,4380.6579189706345,4590.821505174571,2023-04-03,4380.6579189706345,2286.693853535633,Stop-Loss
2023-04-03,LTIM.NS,short,4605.6571870834605,-18,4503.4527605506155,4741.139157807513,2023-04-05,4503.4527605506155,1839.6796775912098,Stop-Loss
2023-04-05,LTIM.NS,short,4585.337937949911,-19,4487.102417499867,4718.238280573093,2023-04-06,4487.102417499867,1866.4748885508288,Stop-Loss
2023-04-06,LTIM.NS,short,4683.062677584717,-18,4574.108904460087,4813.547827907384,2023-04-10,4574.108904460087,1961.167916243341,Stop-Loss
2023-04-10,LTIM.NS,long,4628.878340776025,19,4517.198290383012,4753.515397978901,2023-04-13,4517.198290383012,-2121.9209574672395,Stop-Loss
2023-04-17,LTIM.NS,long,4336.670834364063,17,4386.289685191851,4641.673160629615,2023-04-18,4386.289685191851,843.5204640724005,Stop-Loss
2023-04-19,LTIM.NS,long,4178.568962712751,14,4041.8142974124344,4360.908247981337,2023-04-20,4041.8142974124344,-1914.5653142044366,Stop-Loss
2023-04-20,LTIM.NS,long,4058.0092170086973,14,3924.7181599999826,4236.97148979169,2023-04-28,4236.97148979169,2505.4718189618998,Take-Profit
2023-04-28,LTIM.NS,short,4194.437518409499,-14,4047.078297319902,4357.389581438047,2023-05-02,4047.078297319902,2063.0290952543546,Stop-Loss
2023-05-02,LTIM.NS,short,4287.276116158278,-14,4138.820051737825,4459.255230495399,2023-05-03,4138.820051737825,2078.3849018863293,Stop-Loss
2023-05-08,LTIM.NS,short,4373.438424011619,-14,4209.931149869613,4518.865400434266,2023-05-09,4209.931149869613,2289.101837988075,Stop-Loss
2023-05-09,LTIM.NS,short,4386.404668361135,-14,4241.283789834995,4544.67727761584,2023-05-10,4241.283789834995,2031.6922993659555,Stop-Loss
