entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,M&M.NS,long,1291.352453837037,67,1258.403176445857,1323.6872849211488,2023-01-27,1258.403176445857,-2207.6015852090586,Stop-Loss
2023-01-30,M&M.NS,long,1286.5769466821523,82,1263.8983476676608,1317.0422747243688,2023-01-31,1317.0422747243688,2498.1568994617505,Take-Profit
2023-02-01,M&M.NS,long,1351.3395952486321,68,1316.1367894926407,1380.5385612754374,2023-02-02,1316.1367894926407,-2393.7907914074185,Stop-Loss
2023-02-02,M&M.NS,long,1313.8172517258502,66,1289.4886038371942,1355.3518241155118,2023-02-03,1355.3518241155118,2741.2817777176697,Take-Profit
2023-02-06,M&M.NS,long,1356.5536266603226,63,1323.0838502206334,1392.3114174792597,2023-02-10,1323.0838502206334,-2108.5959157004204,Stop-Loss
2023-02-13,M&M.NS,short,1340.0829284171748,-71,1304.4167811902348,1365.919918373958,2023-02-14,1304.4167811902348,2532.296453112739,Stop-Loss
2023-02-14,M&M.NS,long,1323.5144486060397,73,1292.7862460259325,1353.11540894459,2023-02-16,1353.11540894459,2160.8701047141712,Take-Profit
2023-02-17,M&M.NS,short,1325.4150219759833,-75,1308.310383547844,1366.8688294231874,2023-02-20,1308.310383547844,1282.8478821104568,Stop-Loss
2023-02-21,M&M.NS,short,1320.1034809702235,-75,1286.911423318581,1345.5984082314753,2023-02-22,1286.911423318581,2489.4043238731856,Stop-Loss
2023-02-23,M&M.NS,short,1291.5963451555285,-73,1260.4507014247304,1320.616024402443,2023-02-24,1260.4507014247304,2273.631992348265,Stop-Loss
2023-02-27,M&M.NS,long,1237.7980242538479,72,1221.6603605241887,1282.3966189104567,2023-03-02,1221.6603605241887,-1161.911788535459,Stop-Loss
2023-03-02,M&M.NS,long,1246.082176399532,74,1214.5836905648855,1273.5261078926528,2023-03-09,1214.5836905648855,-2330.8879517638443,Stop-Loss
2023-03-09,M&M.NS,long,1258.215931097244,73,1231.5066625001832,1291.4405795570474,2023-03-10,1231.5066625001832,-1949.7766075854404,Stop-Loss
2023-03-10,M&M.NS,short,1217.2824596885341,-68,1188.8309221151644,1253.2850074922806,2023-03-13,1188.8309221151644,1934.70455498914,Stop-Loss
2023-03-13,M&M.NS,short,1191.6504067554124,-69,1168.468803000081,1231.6552434608295,2023-03-14,1231.6552434608295,-2760.333732673781,Take-Profit
2023-03-14,M&M.NS,short,1162.0224684270277,-69,1135.7833173330537,1199.6230166679077,2023-03-15,1135.7833173330537,1810.5014254842051,Stop-Loss
2023-03-21,M&M.NS,long,1140.873327551889,74,1112.6736215302947,1171.7648018267946,2023-03-27,1112.6736215302947,-2086.7782455979736,Stop-Loss
2023-03-31,M&M.NS,long,1118.4574138354328,84,1092.931055120747,1144.9883701905665,2023-04-03,1144.9883701905665,2228.6003338312257,Take-Profit
2023-04-11,M&M.NS,short,1169.5268116882762,-79,1134.6995094049694,1190.0385935798324,2023-04-12,1134.6995094049694,2751.35688038124,Stop-Loss
2023-04-12,M&M.NS,short,1172.9378556592712,-79,1147.3599324547436,1202.9484754770085,2023-04-13,1147.3599324547436,2020.6559331576866,Stop-Loss
2023-04-13,M&M.NS,long,1182.6351989704442,80,1153.3168410654016,1207.8543600247772,2023-05-02,1207.8543600247772,2017.5328843466377,Take-Profit
2023-05-02,M&M.NS,short,1198.7649697187105,-101,1177.1062722933186,1220.5934924109918,2023-05-03,1177.1062722933186,2187.528439964581,Stop-Loss
2023-05-03,M&M.NS,short,1205.8797760208688,-101,1187.3165480810255,1230.630426126341,2023-05-04,1187.3165480810255,1874.8860219241706,Stop-Loss
2023-05-04,M&M.NS,long,1203.6381216175957,104,1186.017670692884,1228.1553127740713,2023-05-05,1186.017670692884,-1832.5268961700276,Stop-Loss
2023-05-05,M&M.NS,short,1201.4939612258386,-107,1182.8340536038077,1223.8723035282565,2023-05-08,1182.8340536038077,1996.6101155573078,Stop-Loss
2023-05-08,M&M.NS,short,1186.0462980323357,-103,1162.1802053212398,1204.791952800847,2023-05-09,1162.1802053212398,2458.2075492428794,Stop-Loss
2023-05-09,M&M.NS,long,1207.5364726054586,97,1181.1263253454254,1226.376569461308,2023-05-11,1226.376569461308,1827.4893950173941,Take-Profit
2023-05-12,M&M.NS,short,1224.4946256446128,-101,1200.9324583103303,1244.313118737268,2023-05-15,1200.9324583103303,2379.7789007625374,Stop-Loss
2023-05-15,M&M.NS,short,1247.3978483286357,-94,1223.5442916646825,1270.2198344210483,2023-05-16,1223.5442916646825,2242.234326411602,Stop-Loss
2023-05-16,M&M.NS,long,1254.3174857063293,95,1233.269615695225,1279.311451533971,2023-05-17,1233.269615695225,-1999.5476510549133,Stop-Loss
