entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-16,MARUTI.NS,short,8233.224153855943,-17,8316.302363565404,8062.19548139196,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-24,8316.302363565404,-1412.329565060847,Stop-Loss
2023-01-24,MARUTI.NS,long,8204.09771081252,18,8070.666221719667,8307.47286973836,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-25,8307.47286973836,1860.752860665103,Take-Profit
2023-01-30,MARUTI.NS,long,8523.522827992974,14,8345.465903844095,8666.91883393704,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-31,8666.91883393704,2007.5440832169115,Take-Profit
2023-01-31,MARUTI.NS,long,8599.156520431907,14,8423.289261313372,8743.25396668634,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-01,8423.289261313372,-2462.14162765949,Stop-Loss
2023-02-01,MARUTI.NS,long,8676.92502735736,14,8500.2290087685,8818.051100287834,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-02,8500.2290087685,-2473.7442602440424,Stop-Loss
2023-02-03,MARUTI.NS,short,8679.837434332414,-13,8752.268705117642,8425.022911405644,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-08,8425.022911405644,3312.588798048013,Take-Profit
2023-02-08,MARUTI.NS,short,8517.696904727927,-13,8647.786764768538,8320.34388395445,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-27,8320.34388395445,2565.589270055196,Take-Profit
2023-02-27,MARUTI.NS,short,8378.858949611018,-17,8517.781365702109,8262.725431668021,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-01,8517.781365702109,-2361.6810735485433,Stop-Loss
2023-03-01,MARUTI.NS,long,8369.149988467312,18,8270.042593194577,8511.146985115563,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-02,8270.042593194577,-1783.933114909225,Stop-Loss
2023-03-03,MARUTI.NS,short,8342.012851762433,-14,8429.31053619355,8127.524428304432,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-08,8429.31053619355,-1222.1675820356504,Stop-Loss
2023-03-08,MARUTI.NS,long,8374.005060794914,15,8254.641412790737,8547.769131904017,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-10,8254.641412790737,-1790.454720062653,Stop-Loss
2023-03-13,MARUTI.NS,short,8351.237509047904,-15,8480.23976898092,8179.2340189629385,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-16,8179.2340189629385,2580.0523512744758,Take-Profit
2023-03-16,MARUTI.NS,long,8213.903382431397,16,8108.372969000792,8388.25238247811,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-17,8108.372969000792,-1688.4866148896836,Stop-Loss
2023-03-17,MARUTI.NS,long,8255.554524336068,16,8075.391355829609,8347.27539274802,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-20,8075.391355829609,-2882.610696103351,Stop-Loss
2023-03-20,MARUTI.NS,long,8074.82179285343,16,7957.331087797174,8231.474890749601,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-28,7957.331087797174,-1879.8512809000968,Stop-Loss
2023-03-28,MARUTI.NS,short,8064.190883255215,-16,8152.872451840093,7883.534484786125,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-03,8152.872451840093,-1418.9050973580452,Stop-Loss
2023-04-03,MARUTI.NS,long,8168.02822597758,17,7937.8473844300515,8201.49987414535,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,8201.49987414535,569.018018852069,Take-Profit
2023-04-05,MARUTI.NS,short,8273.95412334774,-14,8390.892803250597,8075.217798790871,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-11,8390.892803250597,-1637.1415186400118,Stop-Loss
2023-04-12,MARUTI.NS,long,8419.637423163122,14,8274.34213080543,8585.16003653026,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-17,8585.16003653026,2317.3165871399397,Take-Profit
2023-04-17,MARUTI.NS,short,8592.45673287896,-15,8546.417604018416,8247.877113912946,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-24,8247.877113912946,5168.694284490211,Take-Profit
2023-04-24,MARUTI.NS,long,8327.401123822834,15,8183.738072604621,8476.929640173004,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-25,8183.738072604621,-2154.945768273192,Stop-Loss
2023-04-25,MARUTI.NS,short,8262.351818244924,-15,8344.558899464575,8053.401936130567,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,8344.558899464575,-1233.1062182947608,Stop-Loss
2023-05-04,MARUTI.NS,long,8540.659847739607,15,8413.724609186233,8711.377278897522,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-05,8711.377278897522,2560.7614673687203,Take-Profit
2023-05-05,MARUTI.NS,long,8544.49396252637,15,8420.33116198979,8710.044778805279,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-08,8710.044778805279,2483.2622441836247,Take-Profit
2023-05-08,MARUTI.NS,long,8782.753348798375,14,8557.29677725842,8862.822395947107,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-09,8862.822395947107,1120.966660082253,Take-Profit
2023-05-10,MARUTI.NS,short,8863.144158129173,-14,8977.342639894037,8671.799331703784,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-11,8977.342639894037,-1598.7787447081027,Stop-Loss
2023-05-15,MARUTI.NS,long,8973.048784215564,15,8899.876240236761,9191.587864580151,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-16,8899.876240236761,-1097.5881596820363,Stop-Loss
2023-05-18,MARUTI.NS,short,8878.82311753861,-14,8984.443558799414,8680.118549204948,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-24,8984.443558799414,-1478.686177651256,Stop-Loss
2023-05-24,MARUTI.NS,short,8901.203007442764,-15,9055.074984378522,8770.119421870304,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-26,9055.074984378522,-2308.0796540363644,Stop-Loss
2023-05-26,MARUTI.NS,long,9061.400465365663,16,8893.985481706757,9168.744292620157,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-29,9168.744292620157,1717.5012360718974,Take-Profit
2023-05-29,MARUTI.NS,long,9160.432977061793,16,9006.016554371216,9286.916729588378,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-31,9006.016554371216,-2470.662763049244,Stop-Loss
