entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,NESTLEIND.NS,short,959.6459553202437,-143,942.8799014060397,973.3862260224158,2023-01-16,942.8799014060397,2397.5457097311732,Stop-Loss
2023-01-16,NESTLEIND.NS,long,954.3546419697311,147,938.939158553888,968.6626445518474,2023-01-20,938.939158553888,-2266.076062128942,Stop-Loss
2023-01-20,NESTLEIND.NS,short,945.7009926551192,-153,934.4781422975799,963.0217583493205,2023-01-23,934.4781422975799,1717.096104703513,Stop-Loss
2023-01-24,NESTLEIND.NS,long,933.189519596384,133,917.5364466598212,950.3674404236239,2023-01-27,917.5364466598212,-2081.8587005628533,Stop-Loss
2023-01-31,NESTLEIND.NS,short,923.5689237433085,-150,909.435618583791,938.586167409112,2023-02-01,909.435618583791,2119.9957739276215,Stop-Loss
2023-02-01,NESTLEIND.NS,short,918.7587557682513,-154,902.5884797002276,931.0872679517798,2023-02-02,902.5884797002276,2490.222514475645,Stop-Loss
2023-02-03,NESTLEIND.NS,long,914.2083012710956,159,899.992823626287,927.4604148524508,2023-02-15,927.4604148524508,2107.086059435471,Take-Profit
2023-02-15,NESTLEIND.NS,long,917.5561384048111,192,908.1909763320374,930.9298741679605,2023-02-16,930.9298741679605,2567.7572665246844,Take-Profit
2023-02-16,NESTLEIND.NS,short,934.6326174502738,-186,916.3996591037777,939.9689725947026,2023-02-17,916.3996591037777,3391.330252448265,Stop-Loss
2023-02-17,NESTLEIND.NS,long,941.6098719219815,159,932.392327178221,959.9384652923198,2023-02-20,932.392327178221,-1465.5896142579238,Stop-Loss
2023-02-22,NESTLEIND.NS,long,908.310884789264,130,892.2564401626116,925.8893216451637,2023-02-27,892.2564401626116,-2087.0778014648135,Stop-Loss
2023-02-27,NESTLEIND.NS,short,899.5176679859281,-140,885.2080234146721,916.4536331684579,2023-02-28,885.2080234146721,2003.3502399758481,Stop-Loss
2023-02-28,NESTLEIND.NS,short,896.1601738211907,-144,882.8099513864413,913.1241663805782,2023-03-01,882.8099513864413,1922.4320306039153,Stop-Loss
2023-03-01,NESTLEIND.NS,long,899.5177777890452,147,885.3400892104137,915.0540550436672,2023-03-08,885.3400892104137,-2084.120221058837,Stop-Loss
2023-03-08,NESTLEIND.NS,long,885.3274947676853,151,878.2336284989144,907.1154972879058,2023-03-14,878.2336284989144,-1071.1738065843988,Stop-Loss
2023-03-14,NESTLEIND.NS,short,882.681863358695,-167,869.8715712610231,896.1087790087402,2023-03-15,869.8715712610231,2139.318780311206,Stop-Loss
2023-03-16,NESTLEIND.NS,long,865.3649627331461,168,854.3717886130447,880.3984265432841,2023-03-17,880.3984265432841,2525.6219201031963,Take-Profit
2023-03-17,NESTLEIND.NS,long,889.8443751917664,134,873.5503165579216,906.1541230074066,2023-03-20,906.1541230074066,2185.506207295788,Take-Profit
2023-03-22,NESTLEIND.NS,long,914.3814125592971,126,895.5648803681505,930.3115234414244,2023-03-31,930.3115234414244,2007.1939711480302,Take-Profit
