entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-12,NTPC.NS,short,152.40384638131815,-764,149.17213734627006,154.90174981434825,2023-01-13,149.17213734627006,2469.025702776736,Stop-Loss
2023-01-13,NTPC.NS,short,151.76467068022447,-785,149.14876824651753,154.71981962476048,2023-01-16,149.14876824651753,2053.4834104599445,Stop-Loss
2023-01-17,NTPC.NS,short,152.12994836794735,-778,149.1278135256664,154.74775925256202,2023-01-18,149.1278135256664,2335.660907294581,Stop-Loss
2023-01-18,NTPC.NS,short,152.9517466113466,-764,150.6791522576431,156.40806228928835,2023-01-19,150.6791522576431,1736.262086229482,Stop-Loss
2023-01-19,NTPC.NS,long,155.59987456325334,753,152.24193213877754,158.05296804510652,2023-01-23,152.24193213877754,-2528.5306456302733,Stop-Loss
2023-01-24,NTPC.NS,long,152.67779641536205,806,150.03130463911262,155.46076292258942,2023-01-27,150.03130463911262,-2133.0723716570437,Stop-Loss
2023-01-27,NTPC.NS,long,151.81032752077164,854,149.29516303548832,154.41813548393225,2023-01-30,154.41813548393225,2227.068000539161,Take-Profit
2023-01-30,NTPC.NS,short,153.04307824607378,-872,149.70605560687952,154.72256347142627,2023-01-31,149.70605560687952,2909.8837413773945,Stop-Loss
2023-01-31,NTPC.NS,long,155.09765189506692,817,151.8885691392299,157.2457627948289,2023-02-01,157.2457627948289,1755.006605105533,Take-Profit
2023-02-01,NTPC.NS,short,157.2891949821921,-787,153.90118249981828,159.4627910093569,2023-02-02,153.90118249981828,2666.3658236282,Stop-Loss
2023-02-03,NTPC.NS,long,154.13731200144522,772,149.97548557800093,155.64171503011335,2023-02-06,155.64171503011335,1161.39913813179,Take-Profit
2023-02-06,NTPC.NS,long,154.1373153610746,721,152.51894143700036,158.59080818653857,2023-02-17,158.59080818653857,3210.968327159521,Take-Profit
2023-02-17,NTPC.NS,long,156.4798563558235,783,154.4594513324526,160.04820042880016,2023-02-21,160.04820042880016,2794.0134091407226,Take-Profit
2023-02-21,NTPC.NS,short,158.40068747051473,-822,155.0423220916971,160.36421975501585,2023-02-22,155.0423220916971,2760.576341388098,Stop-Loss
2023-02-27,NTPC.NS,short,160.36838618510816,-665,157.40932385002267,163.98587142262602,2023-02-28,157.40932385002267,1967.7764528318517,Stop-Loss
2023-02-28,NTPC.NS,short,161.91446801255486,-672,158.75023940592874,165.25884623805857,2023-03-01,158.75023940592874,2126.361623652756,Stop-Loss
2023-03-01,NTPC.NS,short,160.18101468867067,-676,156.98553064399007,163.45778429596896,2023-03-02,156.98553064399007,2160.147214204084,Stop-Loss
2023-03-02,NTPC.NS,long,161.3522522831597,676,158.62638514043365,165.0961094856067,2023-03-06,165.0961094856067,2530.847468854174,Take-Profit
2023-03-08,NTPC.NS,long,164.63178428119787,623,162.65046308929215,169.6785634558136,2023-03-09,169.6785634558136,3144.1434257855944,Take-Profit
2023-03-09,NTPC.NS,short,167.16169542553303,-624,164.57670601575356,171.5922290965083,2023-03-10,164.57670601575356,1613.0333917023877,Stop-Loss
2023-03-10,NTPC.NS,short,166.78688380662172,-639,165.2114780463012,172.05765431228846,2023-03-13,165.2114780463012,1006.6842808448039,Stop-Loss
2023-03-13,NTPC.NS,short,169.87900493978537,-650,166.4798123201473,173.2087609819911,2023-03-14,166.4798123201473,2209.475202764756,Stop-Loss
2023-03-14,NTPC.NS,long,167.39592998786412,660,165.54030199630833,172.16577694437535,2023-03-17,165.54030199630833,-1224.714474426823,Stop-Loss
2023-03-17,NTPC.NS,long,170.25379783802012,688,165.56027689855935,171.9205717605797,2023-03-20,165.56027689855935,-3229.1424063490085,Stop-Loss
2023-03-21,NTPC.NS,short,165.70933701101745,-687,162.18210697525538,168.55396397439907,2023-03-22,162.18210697525538,2423.2070345685447,Stop-Loss
2023-03-23,NTPC.NS,short,163.08573383413662,-682,160.61938487994786,167.03006983454867,2023-03-24,160.61938487994786,1682.0499867567344,Stop-Loss
2023-03-24,NTPC.NS,short,164.1632829029768,-701,160.92462849408417,167.1697041221456,2023-03-27,160.92462849408417,2270.2967406337225,Stop-Loss
