entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,ONGC.NS,short,129.6990017037244,-771,131.3420409645885,125.6642965361476,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-18,131.3420409645885,-1266.7832701262212,Stop-Loss
2023-01-18,ONGC.NS,long,130.18197971772108,846,127.61456201881467,132.78563056508304,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-19,132.78563056508304,2202.68861686822,Take-Profit
2023-01-20,ONGC.NS,long,133.47496280418687,821,130.97227794286084,136.29960210645896,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-27,130.97227794286084,-2054.7042711486715,Stop-Loss
2023-01-31,ONGC.NS,short,127.4597807845714,-746,129.75244057603004,123.8906617108011,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-02,123.8906617108011,2662.5628290326404,Take-Profit
2023-02-02,ONGC.NS,long,125.57182656271755,790,124.29758394790882,129.83206000549006,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-03,124.29758394790882,-1006.6516656988948,Stop-Loss
2023-02-03,ONGC.NS,short,126.01089174032143,-814,128.2705413523169,122.89556481800452,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-09,128.2705413523169,-1839.3547841643249,Stop-Loss
2023-02-09,ONGC.NS,long,127.02072479638562,877,124.22307936699131,129.21419567067173,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-13,129.21419567067173,1923.673956748915,Take-Profit
2023-02-13,ONGC.NS,short,129.47947741000482,-857,131.00758680190867,125.90526410624418,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-14,131.00758680190867,-1309.5897488616029,Stop-Loss
2023-02-20,ONGC.NS,short,138.04121585539121,-572,140.7947486468506,133.1404694148763,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-06,140.7947486468506,-1575.020756714764,Stop-Loss
2023-03-06,ONGC.NS,short,139.45282307167793,-600,142.17454646404082,134.87735845810184,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-08,142.17454646404082,-1633.0340354177338,Stop-Loss
2023-03-08,ONGC.NS,short,141.12047786676098,-566,145.91937673848798,138.19251456840922,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-14,138.19251456840922,1657.2272268670938,Take-Profit
2023-03-14,ONGC.NS,short,140.44439656946588,-619,143.47323931209877,136.40594052006622,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-16,136.40594052006622,2499.8042945783873,Take-Profit
2023-03-16,ONGC.NS,short,136.2977632399482,-636,140.4614527503859,133.58575403952455,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-28,133.58575403952455,1724.8378514694512,Take-Profit
2023-03-29,ONGC.NS,short,132.73708159911695,-702,135.36447009286283,129.12870967598758,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-31,135.36447009286283,-1844.42672260961,Stop-Loss
2023-03-31,ONGC.NS,short,135.30620156016715,-685,137.36561369434187,130.982775694328,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-03,137.36561369434187,-1410.697311909684,Stop-Loss
2023-04-03,ONGC.NS,long,139.27251632288295,683,133.41685922140317,139.8235110283635,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-05,139.8235110283635,376.32938384321426,Take-Profit
2023-04-05,ONGC.NS,long,141.30079737405111,662,135.67465300349932,142.28179811121964,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-06,135.67465300349932,-3724.507573305291,Stop-Loss
2023-04-06,ONGC.NS,long,138.10064871620676,680,135.07449618942118,141.50457901469102,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-10,141.50457901469102,2314.6726029692936,Take-Profit
2023-04-11,ONGC.NS,short,141.6162936857434,-540,145.13401887558916,137.03111651549048,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-25,145.13401887558916,-1899.5716025167194,Stop-Loss
2023-04-27,ONGC.NS,short,144.41073850200877,-684,148.00792908832685,141.61267312148868,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-28,141.61267312148868,1913.8767202757388,Take-Profit
