entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,SBILIFE.NS,long,1311.0549881244208,74,1282.3519311095272,1341.6719124919846,2023-01-23,1282.3519311095272,-2124.0262191021266,Stop-Loss
2023-01-25,SBILIFE.NS,short,1265.5308626855476,-78,1241.5163861050155,1297.666140141229,2023-01-27,1241.5163861050155,1873.1291732815052,Stop-Loss
2023-01-30,SBILIFE.NS,short,1214.6391603596921,-81,1219.6874685802259,1273.4279797185532,2023-01-31,1219.6874685802259,-408.9129658632319,Stop-Loss
2023-01-31,SBILIFE.NS,short,1236.2085372160902,-83,1203.3034122263382,1256.3091141018617,2023-02-01,1203.3034122263382,2731.1253741494193,Stop-Loss
2023-02-07,SBILIFE.NS,short,1136.1150965301938,-47,1091.3429572573123,1185.1426992428544,2023-02-08,1091.3429572573123,2104.2905458254318,Stop-Loss
2023-02-08,SBILIFE.NS,long,1133.1331722641155,48,1086.0622844047161,1176.7602972260033,2023-02-09,1176.7602972260033,2094.101998170616,Take-Profit
2023-02-09,SBILIFE.NS,short,1163.5488335593639,-46,1116.3774271117527,1212.2964871582878,2023-02-10,1116.3774271117527,2169.8846965901134,Stop-Loss
2023-02-10,SBILIFE.NS,long,1172.7430975166062,46,1132.2571196002013,1228.1159547908771,2023-02-17,1132.2571196002013,-1862.3549841546237,Stop-Loss
2023-02-20,SBILIFE.NS,long,1137.1090778939035,52,1107.0066393865036,1190.4653499586204,2023-02-27,1107.0066393865036,-1565.3268023847968,Stop-Loss
2023-02-27,SBILIFE.NS,short,1115.2914236555378,-60,1083.9284652794358,1157.1086039112731,2023-02-28,1083.9284652794358,1881.777502566115,Stop-Loss
2023-03-01,SBILIFE.NS,long,1119.8637177686164,63,1084.339461086434,1154.1250219368378,2023-03-10,1084.339461086434,-2238.028170977487,Stop-Loss
2023-03-13,SBILIFE.NS,short,1085.4224609375,-66,1061.0307494664278,1126.9895996697628,2023-03-14,1061.0307494664278,1609.8529570907726,Stop-Loss
2023-03-14,SBILIFE.NS,short,1068.3259874050118,-68,1038.3120039323728,1103.0104677386068,2023-03-15,1038.3120039323728,2040.9508761394509,Stop-Loss
2023-03-15,SBILIFE.NS,long,1073.4946278997775,69,1043.344577079458,1106.9687051700976,2023-03-22,1106.9687051700976,2309.7113316520863,Take-Profit
2023-03-22,SBILIFE.NS,short,1115.3698209631723,-71,1067.1480069856543,1128.9863324826692,2023-03-23,1067.1480069856543,3423.748792403776,Stop-Loss
2023-03-23,SBILIFE.NS,short,1109.6909883607602,-70,1082.1846644476632,1144.738399877074,2023-03-24,1082.1846644476632,1925.4426739167934,Stop-Loss
2023-03-24,SBILIFE.NS,short,1105.9048448591845,-71,1088.224013423271,1149.5884817767846,2023-03-27,1088.224013423271,1255.3390319498699,Stop-Loss
2023-03-28,SBILIFE.NS,short,1100.7241203577175,-75,1070.3835414109035,1128.3921759052537,2023-03-29,1070.3835414109035,2275.5434210110534,Stop-Loss
2023-03-29,SBILIFE.NS,short,1089.963994422563,-78,1063.1691388941874,1119.4136416306667,2023-03-31,1063.1691388941874,2089.998731213296,Stop-Loss
2023-03-31,SBILIFE.NS,short,1096.141015746185,-79,1070.8282657742448,1126.404394006736,2023-04-03,1070.8282657742448,1999.7072477832853,Stop-Loss
2023-04-03,SBILIFE.NS,short,1095.9417539505857,-81,1073.7850458486987,1128.0412848970475,2023-04-05,1073.7850458486987,1794.6933562528498,Stop-Loss
2023-04-05,SBILIFE.NS,short,1105.4565561696243,-83,1077.017586776431,1130.0080451053836,2023-04-06,1077.017586776431,2360.4344596350393,Stop-Loss
2023-04-06,SBILIFE.NS,long,1104.8089765041432,85,1079.3285951664884,1130.9949378899946,2023-04-13,1130.9949378899946,2225.8067177973726,Take-Profit
2023-04-13,SBILIFE.NS,short,1122.6927193965012,-87,1101.1778384646184,1151.3790116044672,2023-04-17,1101.1778384646184,1871.7946410738011,Stop-Loss
2023-04-17,SBILIFE.NS,short,1115.868058120114,-89,1105.0671001739852,1154.0976668904154,2023-04-18,1105.0671001739852,961.2852572054674,Stop-Loss
2023-04-18,SBILIFE.NS,short,1141.1245174128521,-88,1119.818214946347,1169.5329074152871,2023-04-19,1119.818214946347,1874.9546170524427,Stop-Loss
2023-04-21,SBILIFE.NS,short,1132.4067148659658,-90,1103.770773735505,1152.571341399535,2023-04-24,1103.770773735505,2577.234701741479,Stop-Loss
2023-04-24,SBILIFE.NS,long,1101.9196694065972,88,1081.1001936466862,1130.9575949945227,2023-04-27,1130.9575949945227,2555.3374517374377,Take-Profit
2023-04-28,SBILIFE.NS,long,1143.764800557277,88,1111.6634132964127,1161.1106881959288,2023-05-04,1161.1106881959288,1526.4381122013474,Take-Profit
