entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,TATACONSUM.NS,short,736.409106973131,-196,726.0128888418674,748.3364729178747,2023-01-16,726.0128888418674,2037.6587537276646,Stop-Loss
2023-01-16,TATACONSUM.NS,short,733.4833427400005,-202,724.9766837833688,746.646180248477,2023-01-17,724.9766837833688,1718.345109239597,Stop-Loss
2023-01-17,TATACONSUM.NS,short,725.5838973623096,-207,719.6907309786906,740.8370006221626,2023-01-18,719.6907309786906,1219.8854414091368,Stop-Loss
2023-01-18,TATACONSUM.NS,short,731.4353500661018,-209,722.5005870366339,743.4621892896964,2023-01-19,722.5005870366339,1867.3654731588003,Stop-Loss
2023-01-20,TATACONSUM.NS,short,719.7324525271795,-206,711.127290982655,732.3436860791162,2023-01-23,711.127290982655,1772.6632781720336,Stop-Loss
2023-01-23,TATACONSUM.NS,short,720.8539619028587,-211,711.3043581818794,731.9939490192129,2023-01-24,711.3043581818794,2014.9663851266425,Stop-Loss
2023-01-25,TATACONSUM.NS,long,722.0242517127101,217,713.926342707688,734.0729615134472,2023-01-27,713.926342707688,-1757.2462540897902,Stop-Loss
2023-01-27,TATACONSUM.NS,short,721.7316505483415,-223,713.3405629576097,732.919858113812,2023-01-30,713.3405629576097,1871.2125327331883,Stop-Loss
2023-01-31,TATACONSUM.NS,short,717.781916659527,-235,709.4492490319167,728.0957644743715,2023-02-01,709.4492490319167,1958.1768924884352,Stop-Loss
2023-02-01,TATACONSUM.NS,short,719.0009582676232,-239,703.5880108002385,721.9158757364007,2023-02-02,703.5880108002385,3683.6944447049427,Stop-Loss
2023-02-02,TATACONSUM.NS,short,720.5126255970664,-210,713.5187689981027,734.3888133736234,2023-02-03,713.5187689981027,1468.7098857823776,Stop-Loss
2023-02-03,TATACONSUM.NS,short,718.9034062293662,-216,710.2074916686388,730.4981857504087,2023-02-06,710.2074916686388,1878.3175451171128,Stop-Loss
2023-02-06,TATACONSUM.NS,short,710.3700246728929,-211,699.7243513891912,720.4680360383701,2023-02-07,699.7243513891912,2246.237062861067,Stop-Loss
2023-02-07,TATACONSUM.NS,long,713.6858537294435,212,702.8465435198029,723.4733057431274,2023-02-10,702.8465435198029,-2297.9337644437924,Stop-Loss
2023-02-10,TATACONSUM.NS,long,704.1283892111076,232,695.9952427081349,714.8590041886326,2023-02-16,714.8590041886326,2489.5026747858183,Take-Profit
2023-02-16,TATACONSUM.NS,long,714.0759402916191,218,701.488493707768,721.5292577386009,2023-02-20,701.488493707768,-2744.0633552795252,Stop-Loss
2023-02-20,TATACONSUM.NS,long,708.9559574885379,220,699.763452799127,719.6195141063723,2023-02-23,699.763452799127,-2022.3510316704096,Stop-Loss
2023-02-24,TATACONSUM.NS,short,699.2522150864685,-234,690.3662643292781,709.0521749047124,2023-02-27,690.3662643292781,2079.3124771825437,Stop-Loss
2023-03-01,TATACONSUM.NS,short,695.3024148212128,-239,689.7587200942611,708.0417382792665,2023-03-02,689.7587200942611,1324.9430397414526,Stop-Loss
2023-03-02,TATACONSUM.NS,long,699.1058507476687,246,689.9164072542077,707.7175564410043,2023-03-03,689.9164072542077,-2260.6030993914055,Stop-Loss
2023-03-03,TATACONSUM.NS,short,691.4502385259319,-244,682.1578874251925,700.0851580750037,2023-03-06,682.1578874251925,2267.333668580423,Stop-Loss
2023-03-06,TATACONSUM.NS,short,695.3512158535402,-246,684.6642445271377,702.4324151747539,2023-03-08,684.6642445271377,2628.994946295015,Stop-Loss
2023-03-09,TATACONSUM.NS,short,704.9573057875022,-236,694.7156449612831,713.265512935737,2023-03-10,713.265512935737,-1960.7368869834195,Take-Profit
2023-03-10,TATACONSUM.NS,short,689.4997913505804,-223,683.2894918147646,702.8999402756264,2023-03-13,683.2894918147646,1384.8967964869248,Stop-Loss
2023-03-14,TATACONSUM.NS,short,678.7720342596245,-223,668.5494803762134,688.1924490166112,2023-03-15,668.5494803762134,2279.629516000684,Stop-Loss
2023-03-16,TATACONSUM.NS,short,671.945357968553,-234,662.5233869629291,681.20825830073,2023-03-17,662.5233869629291,2204.7412153160067,Stop-Loss
2023-03-17,TATACONSUM.NS,long,680.722504989248,224,668.4683221442955,687.9592903635955,2023-03-20,687.9592903635955,1621.0399238538412,Take-Profit
2023-03-20,TATACONSUM.NS,short,673.8957751265311,-198,679.241800863452,701.3565335818037,2023-03-21,679.241800863452,-1058.5130959103312,Stop-Loss
2023-03-22,TATACONSUM.NS,long,683.6483122479156,210,674.6010321525054,695.483637631295,2023-03-23,695.483637631295,2485.4183305096794,Take-Profit
2023-03-23,TATACONSUM.NS,long,693.9371089439558,196,683.7297266371089,706.0680264304694,2023-03-24,683.7297266371089,-2000.6469321419831,Stop-Loss
2023-03-24,TATACONSUM.NS,short,689.4997670174989,-201,680.3150743729423,702.0873674701916,2023-03-27,680.3150743729423,1846.1232215558891,Stop-Loss
2023-03-27,TATACONSUM.NS,long,689.4022877092418,205,675.839693051236,697.1317113483519,2023-03-28,675.839693051236,-2780.3319048911817,Stop-Loss
2023-03-28,TATACONSUM.NS,short,672.9205671337187,-211,673.1705409940969,693.8639002565687,2023-03-29,673.1705409940969,-52.744484539798236,Stop-Loss
2023-03-29,TATACONSUM.NS,long,678.8207596615906,217,670.1981075383377,690.317725105133,2023-03-31,690.317725105133,2494.8415012487058,Take-Profit
2023-04-03,TATACONSUM.NS,short,692.4254837805486,-201,681.9930389756515,703.718509881423,2023-04-05,681.9930389756515,2096.921405784306,Stop-Loss
2023-04-05,TATACONSUM.NS,short,699.252181583024,-195,689.7085586530376,712.0908386253769,2023-04-06,689.7085586530376,1861.006471347356,Stop-Loss
2023-04-10,TATACONSUM.NS,short,709.0046853045575,-190,702.5575238230603,725.5653710679509,2023-04-11,702.5575238230603,1224.9606814844742,Stop-Loss
2023-04-12,TATACONSUM.NS,long,703.0557327546417,190,689.6747061723803,712.7047822323991,2023-04-18,689.6747061723803,-2542.3950506296605,Stop-Loss
2023-04-18,TATACONSUM.NS,long,698.4719968410448,201,686.2391314686894,707.9557755547684,2023-04-19,686.2391314686894,-2458.8059398434307,Stop-Loss
2023-04-19,TATACONSUM.NS,long,690.4749941782117,204,680.3519570365447,701.8104684174194,2023-04-20,680.3519570365447,-2065.099576900056,Stop-Loss
2023-04-20,TATACONSUM.NS,long,681.6977801911856,207,674.4304287457588,695.5973189639882,2023-04-24,695.5973189639882,2877.2045259701263,Take-Profit
2023-04-24,TATACONSUM.NS,long,688.5244970900507,216,674.3821687418363,694.6376991645308,2023-04-25,694.6376991645308,1320.4516480877046,Take-Profit
2023-04-26,TATACONSUM.NS,long,715.782640156964,134,702.299156681345,734.8984063259148,2023-04-27,734.8984063259148,2561.512666639409,Take-Profit
2023-04-28,TATACONSUM.NS,long,739.2373329174031,132,721.1509669309963,754.2500860841924,2023-05-02,754.2500860841924,1981.6834180161813,Take-Profit
2023-05-04,TATACONSUM.NS,short,753.866081232874,-130,747.6124392254848,781.3191362084682,2023-05-05,747.6124392254848,812.9734609605964,Stop-Loss
2023-05-05,TATACONSUM.NS,long,758.6447650678588,131,742.0324439736239,775.3332062122515,2023-05-12,775.3332062122515,2186.185789915451,Take-Profit
2023-05-12,TATACONSUM.NS,short,768.4948011629207,-142,756.7375839219735,787.4705952980459,2023-05-15,756.7375839219735,1669.5248482144982,Stop-Loss
2023-05-15,TATACONSUM.NS,short,769.4700089324847,-146,756.6722174537368,786.6475739939758,2023-05-16,756.6722174537368,1868.4775558971867,Stop-Loss
2023-05-17,TATACONSUM.NS,long,766.7881227389739,153,754.5436638184099,783.1139820962869,2023-05-19,754.5436638184099,-1873.4022148463007,Stop-Loss
2023-05-19,TATACONSUM.NS,long,760.9747482102623,157,745.130212720661,773.0233434883374,2023-05-26,773.0233434883374,1891.629458657797,Take-Profit
2023-05-31,TATACONSUM.NS,long,775.9103379352732,174,768.9418595731686,794.0578875938481,2023-06-07,794.0578875938481,3157.6736405920356,Take-Profit
2023-06-07,TATACONSUM.NS,long,782.7619697056208,188,770.8895543028746,794.2211134685631,2023-06-08,794.2211134685631,2154.3190274331505,Take-Profit
2023-06-08,TATACONSUM.NS,short,813.1260049751252,-131,797.1055659151696,830.5760830115448,2023-06-09,797.1055659151696,2098.6775168541844,Stop-Loss
2023-06-09,TATACONSUM.NS,short,799.2255624022041,-124,780.5570798981977,815.8357587034448,2023-06-12,780.5570798981977,2314.891830496796,Stop-Loss
2023-06-12,TATACONSUM.NS,long,791.585255612359,126,774.8078405760074,809.4695100913651,2023-06-13,809.4695100913651,2253.4160643547725,Take-Profit
