entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,TATAMOTORS.NS,long,406.95129795004937,152,393.8689570571341,422.670044561842,2023-01-27,422.670044561842,2389.2494849924833,Take-Profit
2023-01-27,TATAMOTORS.NS,short,431.5851543490185,-162,401.3650480644518,428.30954406836116,2023-01-30,401.3650480644518,4895.657218099809,Stop-Loss
2023-01-30,TATAMOTORS.NS,long,439.0738269394638,125,424.038982458887,459.12034597929653,2023-02-22,424.038982458887,-1879.3555600720993,Stop-Loss
2023-02-28,TATAMOTORS.NS,short,412.86342945318336,-183,401.5864766331304,425.48522272483655,2023-03-01,401.5864766331304,2063.682366069688,Stop-Loss
2023-03-01,TATAMOTORS.NS,long,415.3268008164956,186,404.44411961581807,427.99777581497693,2023-03-06,427.99777581497693,2356.8013497175243,Take-Profit
2023-03-06,TATAMOTORS.NS,short,424.6384035327827,-184,411.5570427581423,435.2976714233884,2023-03-08,411.5570427581423,2406.9703825338365,Stop-Loss
2023-03-08,TATAMOTORS.NS,long,432.5704946348665,170,422.6569613463549,448.3176245362404,2023-03-13,422.6569613463549,-1685.3006590469795,Stop-Loss
2023-03-14,TATAMOTORS.NS,long,416.65702910765134,173,405.3778896206968,430.6612676151126,2023-03-15,405.3778896206968,-1951.2911312431345,Stop-Loss
2023-03-15,TATAMOTORS.NS,long,415.8194552358289,178,399.9985974130272,424.61345255411476,2023-03-16,399.9985974130272,-2816.112692458705,Stop-Loss
2023-03-17,TATAMOTORS.NS,short,412.8634033203125,-183,399.37935089299725,423.25503254957135,2023-03-20,399.37935089299725,2467.5815941986903,Stop-Loss
2023-03-20,TATAMOTORS.NS,short,409.51322699422997,-185,402.7421014052676,426.3584725403724,2023-03-21,402.7421014052676,1252.6582339580398,Stop-Loss
2023-03-21,TATAMOTORS.NS,long,406.8034673052884,188,394.73510437727043,418.0664509995769,2023-03-28,394.73510437727043,-2268.852230467377,Stop-Loss
2023-03-31,TATAMOTORS.NS,long,405.3254748665408,195,393.6046203022544,416.0100322239473,2023-04-03,416.0100322239473,2083.488684694268,Take-Profit
2023-04-03,TATAMOTORS.NS,short,416.8048367609891,-179,404.1434222513753,428.6285640326715,2023-04-05,404.1434222513753,2266.393197220869,Stop-Loss
2023-04-11,TATAMOTORS.NS,short,456.95799057887064,-138,440.9364841209288,472.68708448589695,2023-04-12,440.9364841209288,2210.967891195972,Stop-Loss
2023-04-12,TATAMOTORS.NS,short,452.6224809385752,-141,438.7235655483645,469.6598288619463,2023-04-13,438.7235655483645,1959.7470700197132,Stop-Loss
2023-04-13,TATAMOTORS.NS,long,458.14042988571873,142,445.49060757834053,476.27146487926996,2023-04-28,476.27146487926996,2574.606969084274,Take-Profit
2023-04-28,TATAMOTORS.NS,short,474.3495087063664,-170,463.5103209230659,489.2616395667715,2023-05-02,463.5103209230659,1842.6619231610903,Stop-Loss
2023-05-09,TATAMOTORS.NS,short,494.64782266030033,-146,480.36675430885026,510.2404559247882,2023-05-10,480.36675430885026,2085.035979311711,Stop-Loss
2023-05-10,TATAMOTORS.NS,long,500.5599325702281,150,483.7414813530393,512.9832108163903,2023-05-15,512.9832108163903,1863.4917369243253,Take-Profit
2023-05-16,TATAMOTORS.NS,long,526.1298549448566,149,510.5012580898786,539.8405873580265,2023-05-17,510.5012580898786,-2328.6609313917156,Stop-Loss
2023-05-17,TATAMOTORS.NS,long,514.8475833452522,146,500.70831687965614,530.5960234573334,2023-05-18,500.70831687965614,-2064.332903977032,Stop-Loss
2023-05-18,TATAMOTORS.NS,short,511.20174888608335,-148,495.29978031092975,524.8172016915468,2023-05-19,495.29978031092975,2353.4913491227335,Stop-Loss
2023-05-22,TATAMOTORS.NS,short,517.2617251536706,-138,503.6960560273217,535.3491266315399,2023-05-23,503.6960560273217,1872.0623394361473,Stop-Loss
2023-05-25,TATAMOTORS.NS,short,510.4134600041587,-144,499.52608719085606,529.988247677817,2023-05-26,499.52608719085606,1567.7816851155812,Stop-Loss
2023-05-26,TATAMOTORS.NS,short,507.3588773443261,-146,494.50160900822976,524.3868520515271,2023-05-29,494.50160900822976,1877.1611770700677,Stop-Loss
2023-05-29,TATAMOTORS.NS,long,517.3109838581357,149,498.29407585766614,527.6072681598306,2023-06-01,527.6072681598306,1534.1463609525354,Take-Profit
2023-06-01,TATAMOTORS.NS,long,519.7743330067557,156,506.58539122860225,534.6006225675928,2023-06-05,534.6006225675928,2312.901171490596,Take-Profit
2023-06-05,TATAMOTORS.NS,long,531.1059375893878,159,516.2415059157406,543.7977634339603,2023-06-06,543.7977634339603,2018.0003092870215,Take-Profit
2023-06-07,TATAMOTORS.NS,short,550.615882516931,-155,535.4799550436293,563.7847832491192,2023-06-08,535.4799550436293,2346.0687583617732,Stop-Loss
2023-06-09,TATAMOTORS.NS,short,556.1339773295994,-149,538.9161934685214,568.2849598154089,2023-06-12,538.9161934685214,2565.44979530061,Stop-Loss
2023-06-12,TATAMOTORS.NS,long,558.6958085407887,152,541.7654074188998,570.463750394592,2023-06-20,570.463750394592,1788.727161778107,Take-Profit
2023-06-20,TATAMOTORS.NS,long,557.7597800409569,170,546.7033724856568,572.5016231441242,2023-06-21,572.5016231441242,2506.113327538441,Take-Profit
2023-06-21,TATAMOTORS.NS,long,576.3830054760524,154,562.5021681223024,590.9821759020343,2023-06-22,562.5021681223024,-2137.648952477508,Stop-Loss
2023-06-22,TATAMOTORS.NS,short,575.4468146690208,-157,560.9302528881886,588.8246856022067,2023-06-23,560.9302528881886,2279.100199590647,Stop-Loss
2023-06-23,TATAMOTORS.NS,short,561.6518829233096,-151,548.5751321106501,577.5929797769456,2023-06-26,548.5751321106501,1974.589372711584,Stop-Loss
2023-06-26,TATAMOTORS.NS,long,551.7983192410209,150,538.9291750825561,568.1525793821128,2023-06-27,568.1525793821128,2453.139021163787,Take-Profit
2023-06-27,TATAMOTORS.NS,short,561.6519078945266,-149,546.9563472368015,576.3026291399938,2023-06-28,546.9563472368015,2189.638538001037,Stop-Loss
2023-06-28,TATAMOTORS.NS,long,570.5200610216285,151,552.3043152704294,581.2427041511462,2023-06-30,581.2427041511462,1619.1191125571695,Take-Profit
2023-06-30,TATAMOTORS.NS,short,579.7331352925584,-145,565.0897983398958,595.3490392251911,2023-07-03,565.0897983398958,2123.283858136076,Stop-Loss
2023-07-03,TATAMOTORS.NS,long,591.2125489440907,144,573.84767698145,604.1343921171812,2023-07-07,604.1343921171812,1860.745416925025,Take-Profit
2023-07-10,TATAMOTORS.NS,short,614.8609759981341,-138,595.5323884533077,627.2974729476731,2023-07-11,595.5323884533077,2667.345081186044,Stop-Loss
2023-07-12,TATAMOTORS.NS,long,620.7238376257316,141,605.9815341697179,637.0465327281366,2023-07-18,605.9815341697179,-2078.664787297932,Stop-Loss
2023-07-18,TATAMOTORS.NS,long,611.3138033642953,148,596.7575396137839,626.3536556777152,2023-07-25,626.3536556777152,2225.8981423861514,Take-Profit
