entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,exit_date,exit_price,pnl,exit_reason
2023-01-13,TATASTEEL.NS,long,109.97110404235937,549,106.14138025779447,114.10336056366337,2023-01-19,114.10336056366337,2268.6088301958966,Take-Profit
2023-01-19,TATASTEEL.NS,short,112.98591501069043,-557,110.22449276438064,118.07469975165915,2023-01-20,110.22449276438064,1538.112191194554,Stop-Loss
2023-01-20,TATASTEEL.NS,short,114.47012847854404,-567,111.30375537202889,119.01663641232737,2023-01-23,111.30375537202889,1795.3335513940915,Stop-Loss
2023-01-25,TATASTEEL.NS,long,111.64084092770656,607,108.6007013518574,115.80259066171618,2023-01-30,108.6007013518574,-1845.3647225404445,Stop-Loss
2023-01-30,TATASTEEL.NS,short,111.73360004544553,-639,108.98429009812183,115.83226397968521,2023-01-31,108.98429009812183,1756.8090563398414,Stop-Loss
2023-01-31,TATASTEEL.NS,long,110.15662973686938,648,107.26167987174533,114.01654913178096,2023-02-01,114.01654913178096,2501.2277679027075,Take-Profit
2023-02-01,TATASTEEL.NS,short,111.40892728255389,-658,108.18940547198109,114.8358459063364,2023-02-02,108.18940547198109,2118.4453513569024,Stop-Loss
2023-02-02,TATASTEEL.NS,long,113.12505247981004,645,110.31176858829015,117.09255338130325,2023-02-03,110.31176858829015,-1814.5681100303275,Stop-Loss
2023-02-03,TATASTEEL.NS,long,111.36255244971623,650,108.38627451467707,115.11446102714282,2023-02-07,108.38627451467707,-1934.5806577754565,Stop-Loss
2023-02-14,TATASTEEL.NS,long,101.62239422046237,646,97.97700049022632,104.75131827540137,2023-02-17,104.75131827540137,2021.2849394905977,Take-Profit
2023-02-17,TATASTEEL.NS,short,103.4776574184222,-655,101.03038655190497,107.71469038766186,2023-02-20,101.03038655190497,1602.962417568785,Stop-Loss
2023-02-20,TATASTEEL.NS,short,104.17338721747429,-671,101.33197733719825,107.8536943202591,2023-02-21,101.33197733719825,1906.5860296652177,Stop-Loss
2023-02-21,TATASTEEL.NS,short,104.7299672224207,-689,101.49812363553698,107.84861947472022,2023-02-22,101.49812363553698,2226.740231362878,Stop-Loss
2023-02-22,TATASTEEL.NS,long,105.05463712053545,699,102.28049231934985,108.537054043764,2023-02-24,102.28049231934985,-1939.127216028734,Stop-Loss
2023-02-27,TATASTEEL.NS,long,101.8543034689024,727,99.23018182577214,105.24487414278559,2023-02-28,99.23018182577214,-1907.7364345557035,Stop-Loss
2023-03-01,TATASTEEL.NS,short,97.12335264766854,-724,93.83886051756348,99.87933475994791,2023-03-02,93.83886051756348,2377.9723021960667,Stop-Loss
2023-03-02,TATASTEEL.NS,short,98.37567069089887,-711,95.22809761252329,101.38195078258615,2023-03-03,95.22809761252329,2237.924458725042,Stop-Loss
2023-03-06,TATASTEEL.NS,short,99.7207309458131,-698,96.57132019908207,102.83771940985022,2023-03-08,96.57132019908207,2198.2887012182628,Stop-Loss
2023-03-08,TATASTEEL.NS,short,97.67993960795081,-720,95.40219512590656,101.47449219215063,2023-03-09,95.40219512590656,1639.9760270718639,Stop-Loss
2023-03-09,TATASTEEL.NS,long,100.04540068255483,727,96.21466553670002,102.23100900038304,2023-03-16,96.21466553670002,-2784.9444510364415,Stop-Loss
2023-03-17,TATASTEEL.NS,long,98.74671790914319,719,94.8390839968233,100.92663912321346,2023-03-24,94.8390839968233,-2809.588782957994,Stop-Loss
2023-03-24,TATASTEEL.NS,long,97.4016441382823,762,94.84974473997057,100.58775337160823,2023-03-27,94.84974473997057,-1944.5473415135293,Stop-Loss
2023-03-27,TATASTEEL.NS,short,95.12895001701263,-760,92.2449314370908,98.00026292600134,2023-03-28,92.2449314370908,2191.85412074059,Stop-Loss
2023-03-28,TATASTEEL.NS,long,95.40723606637997,778,92.48705160325174,98.11036094419951,2023-04-11,98.11036094419951,2103.031154943608,Take-Profit
2023-04-11,TATASTEEL.NS,short,97.91185085820564,-877,95.21631661803876,100.20719094075953,2023-04-12,95.21631661803876,2363.983528626353,Stop-Loss
2023-04-12,TATASTEEL.NS,short,100.37007889507365,-814,97.46333307061336,102.83883674894781,2023-04-13,97.46333307061336,2366.091101110674,Stop-Loss
2023-04-13,TATASTEEL.NS,short,99.72073364257812,-836,97.57179980797022,102.80243230763476,2023-04-17,97.57179980797022,1796.5086857322062,Stop-Loss
2023-04-17,TATASTEEL.NS,short,99.81349756438166,-861,97.54200709602455,102.62570237131622,2023-04-18,97.54200709602455,1955.753293255476,Stop-Loss
2023-04-18,TATASTEEL.NS,short,99.44244412865969,-886,97.28036653246758,102.21699572607838,2023-04-19,97.28036653246758,1915.6007502262055,Stop-Loss
2023-04-20,TATASTEEL.NS,short,100.37007917659744,-924,98.24829216756173,102.9826746522354,2023-04-21,98.24829216756173,1960.5311963489996,Stop-Loss
2023-04-24,TATASTEEL.NS,short,98.70033639244257,-947,96.4891300534116,101.10749558145379,2023-04-25,96.4891300534116,2094.0124030623247,Stop-Loss
2023-04-25,TATASTEEL.NS,long,98.97862874295929,969,96.85750022922825,101.37389607701208,2023-05-02,101.37389607701208,2321.014046697153,Take-Profit
2023-05-02,TATASTEEL.NS,long,100.18455995963822,1050,98.35328344446945,102.51801485561626,2023-05-03,102.51801485561626,2450.1276407769383,Take-Profit
2023-05-04,TATASTEEL.NS,short,102.03982798034508,-999,99.88556646568911,104.26281008106686,2023-05-05,99.88556646568911,2152.107253141315,Stop-Loss
2023-05-05,TATASTEEL.NS,long,102.82830728578007,993,101.12616066500273,105.53076293250287,2023-05-08,101.12616066500273,-1690.2315944319,Stop-Loss
2023-05-08,TATASTEEL.NS,long,101.34409748826829,949,98.8125633427671,103.42078091976755,2023-05-15,98.8125633427671,-2402.425904080623,Stop-Loss
2023-05-16,TATASTEEL.NS,long,100.37007903163305,1033,98.09037977178696,102.32742810620464,2023-05-17,98.09037977178696,-2354.9293354210185,Stop-Loss
2023-05-22,TATASTEEL.NS,short,97.40164184570312,-1135,95.42481196739628,99.27987208871902,2023-05-23,95.42481196739628,2243.7019118782687,Stop-Loss
2023-05-23,TATASTEEL.NS,long,97.49441927904334,1157,95.78124402568419,99.56217227239505,2023-05-29,99.56217227239505,2392.390213307921,Take-Profit
2023-05-29,TATASTEEL.NS,short,99.25692213683836,-1184,97.11636101719364,100.81231260939936,2023-05-30,97.11636101719364,2534.424365659343,Stop-Loss
2023-05-30,TATASTEEL.NS,short,101.06580700951243,-1098,98.89457291033828,102.87854552710104,2023-05-31,98.89457291033828,2384.0150408932086,Stop-Loss
2023-05-31,TATASTEEL.NS,long,98.70034012306776,1100,97.59815230415761,101.5768456134995,2023-06-05,101.5768456134995,3164.1560394749135,Take-Profit
2023-06-06,TATASTEEL.NS,long,101.80791632626035,1047,99.69156748738092,103.87215033258065,2023-06-08,103.87215033258065,2161.2530046173447,Take-Profit
2023-06-08,TATASTEEL.NS,short,103.43127628202826,-987,101.53134931878982,105.9644900725055,2023-06-09,101.53134931878982,1875.2279127163429,Stop-Loss
