entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-12,ULTRACEMCO.NS,short,6907.975911004405,-17,7018.18201447908,6754.15103147581,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-13,7018.18201447908,-1873.503759069472,Stop-Loss
2023-01-13,ULTRACEMCO.NS,short,7055.527399530653,-15,7155.324222059327,6872.78922084798,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-16,7155.324222059327,-1496.9523379301108,Stop-Loss
2023-01-16,ULTRACEMCO.NS,short,7148.945514667406,-15,7251.460740286528,6963.8448267533795,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-17,7251.460740286528,-1537.72838428682,Stop-Loss
2023-01-17,ULTRACEMCO.NS,short,7158.778825960772,-16,7284.331229019018,7002.50448761006,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-23,7002.50448761006,2500.389413611396,Take-Profit
2023-01-23,ULTRACEMCO.NS,short,7006.3596053203355,-16,7176.010792456358,6899.814874381105,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-24,6899.814874381105,1704.715695027684,Take-Profit
2023-01-24,ULTRACEMCO.NS,long,6767.405979923228,12,6580.731296504374,6942.308303879585,Mock forecast (uptrend) due to missing Gemini API key.,2023-01-25,6580.731296504374,-2240.096201026252,Stop-Loss
2023-01-31,ULTRACEMCO.NS,short,6809.689959607767,-12,6930.269751783884,6563.333202048571,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-01,6930.269751783884,-1446.957506113402,Stop-Loss
2023-02-01,ULTRACEMCO.NS,short,6967.025557333186,-11,7140.156988556935,6737.445629840754,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-02,7140.156988556935,-1904.4457434612405,Stop-Loss
2023-02-02,ULTRACEMCO.NS,short,6981.775871910379,-11,7192.633328661638,6795.623660742816,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-17,7192.633328661638,-2319.432024263856,Stop-Loss
2023-02-20,ULTRACEMCO.NS,long,7179.42858034177,13,7030.047695836291,7371.3766724786965,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-23,7030.047695836291,-1941.9514985712285,Stop-Loss
2023-02-27,ULTRACEMCO.NS,short,7099.777685662414,-13,7239.732391960577,6905.599812021314,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-14,6905.599812021314,2524.3123573342964,Take-Profit
2023-03-14,ULTRACEMCO.NS,short,6962.109215682344,-15,7082.1469056911155,6791.9626543910135,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-17,7082.1469056911155,-1800.5653501315692,Stop-Loss
2023-03-17,ULTRACEMCO.NS,long,7039.940691295594,16,6870.494373221317,7140.705907319494,Mock forecast (uptrend) due to missing Gemini API key.,2023-03-20,7140.705907319494,1612.2434563824063,Take-Profit
2023-03-20,ULTRACEMCO.NS,short,7153.861604371125,-14,7301.02008043136,6991.953532081104,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-22,7301.02008043136,-2060.2186648432835,Stop-Loss
