entry_date,ticker,direction,entry_price,size,stop_loss,take_profit,reasoning,exit_date,exit_price,pnl,exit_reason
2023-01-13,UPL.NS,short,702.1760824378807,-143,712.1842257030928,681.5601722070742,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-18,712.1842257030928,-1431.164486925328,Stop-Loss
2023-01-20,UPL.NS,short,728.0816048974559,-135,741.9364512782533,709.4948268438392,Mock forecast (downtrend) due to missing Gemini API key.,2023-01-31,741.9364512782533,-1870.4042614076525,Stop-Loss
2023-01-31,UPL.NS,short,728.4712120338885,-142,738.8536391290913,708.1515890713678,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-01,738.8536391290913,-1474.3046475188037,Stop-Loss
2023-02-02,UPL.NS,short,721.6539413687404,-134,736.792973670542,704.0820043442252,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-03,704.0820043442252,2354.639561285044,Take-Profit
2023-02-03,UPL.NS,short,682.7956075065322,-95,697.9320462466764,651.933500512244,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-06,697.9320462466764,-1437.9616803136964,Stop-Loss
2023-02-06,UPL.NS,long,696.8196794413551,89,676.0227804027675,725.0033785710497,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-14,725.0033785710497,2508.349222542816,Take-Profit
2023-02-14,UPL.NS,short,717.2714599968874,-97,734.0050787311646,688.8242016657388,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-15,734.0050787311646,-1623.161017224891,Stop-Loss
2023-02-15,UPL.NS,short,741.0830763594173,-86,763.3957335600039,712.8099813926511,Mock forecast (downtrend) due to missing Gemini API key.,2023-02-27,712.8099813926511,2431.4861671418903,Take-Profit
2023-02-27,UPL.NS,long,716.7844345613581,103,700.7918449637704,743.3345061941395,Mock forecast (uptrend) due to missing Gemini API key.,2023-02-28,700.7918449637704,-1647.23672855154,Stop-Loss
2023-03-01,UPL.NS,short,680.9452711474177,-98,695.2678736531738,650.4863816785808,Mock forecast (downtrend) due to missing Gemini API key.,2023-03-02,695.2678736531738,-1403.6150455640973,Stop-Loss
2023-03-03,UPL.NS,short,690.489364924901,-94,707.3172798023973,661.0077463962828,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-03,707.3172798023973,-1581.823998484648,Stop-Loss
2023-04-03,UPL.NS,long,699.7413618087653,117,682.9140416770389,720.2464266897294,Mock forecast (uptrend) due to missing Gemini API key.,2023-04-11,720.2464266897294,2399.0925910728047,Take-Profit
2023-04-12,UPL.NS,short,726.5234199616218,-121,738.7072324437985,702.4384117546228,Mock forecast (downtrend) due to missing Gemini API key.,2023-04-25,702.4384117546228,2914.285993046875,Take-Profit
2023-04-28,UPL.NS,short,713.8628293583806,-142,721.4648689111078,690.5467193815438,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-02,721.4648689111078,-1079.4896164872632,Stop-Loss
2023-05-05,UPL.NS,short,715.9079577453596,-133,726.5435864038342,693.5464990527003,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-08,693.5464990527003,2974.0740061236884,Take-Profit
2023-05-08,UPL.NS,short,699.936182742056,-129,710.740123996251,676.7820075232279,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-09,676.7820075232279,2986.8886032288215,Take-Profit
2023-05-09,UPL.NS,long,691.4633213354956,132,682.5505664207037,715.6180639455721,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-10,682.5505664207037,-1176.4836487525295,Stop-Loss
2023-05-10,UPL.NS,long,677.6339817387639,125,661.2968494190436,696.2356705011711,Mock forecast (uptrend) due to missing Gemini API key.,2023-05-12,661.2968494190436,-2042.14153996503,Stop-Loss
2023-05-12,UPL.NS,short,667.164727984644,-128,679.7442515034229,645.5063422337173,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-19,645.5063422337173,2772.27337611861,Take-Profit
2023-05-19,UPL.NS,short,656.4031660799495,-146,668.6330577324001,638.6197291758104,Mock forecast (downtrend) due to missing Gemini API key.,2023-05-26,668.6330577324001,-1785.5641812577778,Stop-Loss
2023-05-29,UPL.NS,long,671.9854125976562,145,657.218147684143,687.3574925409343,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-12,657.218147684143,-2141.2534124594226,Stop-Loss
2023-06-12,UPL.NS,short,662.490046761406,-171,673.4312440594781,647.9016518009041,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-16,673.4312440594781,-1870.9447379703288,Stop-Loss
2023-06-16,UPL.NS,short,663.5126363440131,-189,672.9303398125147,649.8195037851366,Mock forecast (downtrend) due to missing Gemini API key.,2023-06-19,672.9303398125147,-1779.9459555468025,Stop-Loss
2023-06-20,UPL.NS,long,667.1159659017588,184,657.495190411652,681.3071533443599,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-22,657.495190411652,-1770.2226901796685,Stop-Loss
2023-06-22,UPL.NS,long,668.1872744403424,193,658.4532655010022,681.1657672551742,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-23,658.4532655010022,-1878.6637252926666,Stop-Loss
2023-06-23,UPL.NS,long,657.1335894732314,187,646.7421911723081,670.1935782741621,Mock forecast (uptrend) due to missing Gemini API key.,2023-06-30,670.1935782741621,2442.2179057740377,Take-Profit
2023-06-30,UPL.NS,long,663.2204456192328,177,651.9668128042816,676.7481883963745,Mock forecast (uptrend) due to missing Gemini API key.,2023-07-05,651.9668128042816,-1991.893008246358,Stop-Loss
2023-07-06,UPL.NS,short,653.4814801508501,-184,662.495195448134,638.7362848126443,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-11,638.7362848126443,2713.115942229868,Take-Profit
2023-07-11,UPL.NS,short,637.8505260568223,-192,652.6416045198213,629.8319255816446,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-12,629.8319255816446,1539.5712912341332,Take-Profit
2023-07-12,UPL.NS,short,630.9358508476371,-179,637.8961759166652,613.4747968572068,Mock forecast (downtrend) due to missing Gemini API key.,2023-07-25,613.4747968572068,3125.5286642870215,Take-Profit
2023-07-25,UPL.NS,short,618.421461696442,-200,625.0253724443598,603.1398761288743,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-01,603.1398761288743,3056.3171135135235,Take-Profit
2023-08-02,UPL.NS,short,612.3832512206493,-222,617.7950419966204,598.1230698183082,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-03,598.1230698183082,3165.7602713197284,Take-Profit
2023-08-03,UPL.NS,long,605.8959545519093,226,594.6981447202905,614.0346758547169,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-04,594.6981447202905,-2530.705021945842,Stop-Loss
2023-08-08,UPL.NS,short,601.8401205386057,-225,608.5852749117363,589.1535323767995,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-09,608.5852749117363,-1517.659733954389,Stop-Loss
2023-08-10,UPL.NS,short,609.3087202646053,-207,617.6336319548442,596.4777688844266,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-11,596.4777688844266,2656.0069356969916,Take-Profit
2023-08-11,UPL.NS,long,604.4120972145396,211,594.2000144785637,614.9121877264982,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-14,594.2000144785637,-2154.7494572909054,Stop-Loss
2023-08-14,UPL.NS,long,593.5307282498275,208,584.2408006731102,605.224810528301,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-16,584.2408006731102,-1932.3049359571814,Stop-Loss
2023-08-16,UPL.NS,short,583.935282751407,-208,592.9356106908069,571.934892125799,Mock forecast (downtrend) due to missing Gemini API key.,2023-08-18,571.934892125799,2496.081250126468,Take-Profit
2023-08-21,UPL.NS,long,575.7247696957173,225,563.8936663139208,583.3056169525328,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-22,583.3056169525328,1705.6906327834754,Take-Profit
2023-08-23,UPL.NS,long,578.6924737791093,219,568.9999268314502,588.9613198887955,Mock forecast (uptrend) due to missing Gemini API key.,2023-08-29,588.9613198887955,2248.877298021289,Take-Profit
2023-08-30,UPL.NS,long,593.5306603212083,204,581.9705724298557,603.4045321703486,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-05,603.4045321703486,2014.2698572246213,Take-Profit
2023-09-05,UPL.NS,short,601.5432842608659,-188,610.8603582042667,587.6204338526444,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-11,610.8603582042667,-1751.6099013593557,Stop-Loss
2023-09-12,UPL.NS,short,615.2440409288365,-190,621.1546063703976,598.1305891298344,Mock forecast (downtrend) due to missing Gemini API key.,2023-09-13,598.1305891298344,3251.555841810392,Take-Profit
2023-09-13,UPL.NS,long,598.4767433775148,179,587.4791424773599,611.9862247437285,Mock forecast (uptrend) due to missing Gemini API key.,2023-09-14,611.9862247437285,2418.197164552246,Take-Profit
